Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
         97.8     0.4    35.8   301.4    53.8
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   10.68   -0.33   13.96   11.93   17.15
 1961    5.77   -0.32  -32.17   69.96  -14.39
 1962   28.97   -0.33   30.92   85.02    0.27
 1963  -44.51   -0.34  -27.47 -137.34  -12.88
 1964   -0.50   -0.23   15.17  -11.27   -5.69
 1965   34.81   -0.33   49.90   30.40   59.26
 1966    0.07   -0.35   -4.49    4.79    0.33
 1967  -17.58   -0.31  -27.65   -6.08  -36.28
 1968  -36.24    0.06  -34.90  -81.51  -28.61
 1969    1.77   -0.20   -9.83   52.70  -35.60
 1970  -10.59   -0.33  -23.15    1.26  -20.12
 1971   12.89   -0.35   10.56   60.43  -19.07
 1972   13.57   -0.34   20.97    7.71   25.92
 1973  -37.66   -0.34  -24.75 -104.19  -21.35
 1974   11.62   -0.26  -23.75   32.82   37.68
 1975   -5.14   -0.30  -25.90   22.33  -16.70
 1976   12.65   -0.31    0.69   33.12   17.10
 1977   12.80   -0.34   -4.48   23.06   32.98
 1978    1.07   -0.34   -9.93   25.84  -11.27
 1979   19.03   -0.35   12.58   37.10   26.78
 1980  -13.55   -0.31  -28.92  -25.01    0.02
 1981   21.26   -0.34   14.09   44.84   26.43
 1982  -19.96   -0.35   10.20  -36.24  -53.45
 1983  -27.87   -0.30  -34.28  -33.20  -43.70
 1984  -19.13   -0.05  -25.00  -33.07  -18.41
 1985  -18.99   -0.23  -21.72  -22.10  -31.90
 1986    2.35    1.41   19.67   18.83  -30.49
 1987  -20.63   -0.34  -32.77  -33.21  -16.21
 1988   14.30   -0.32   15.70   29.17   12.66
 1989    9.95   -0.35   45.63    1.37   -6.82
 1990   14.67   -0.34   82.82   -9.30  -14.49
 1991    8.04    4.74   -2.18   -1.60   31.19
 1992   13.91   -0.32   13.57   32.89    9.49
 1993   21.93   -0.30   32.14   27.81   28.07
 1994    7.59   -0.34    0.12   52.90  -22.31
 1995  -51.37    1.61  -32.88 -154.01  -20.19
 1996   -7.17   -0.34   -8.96  -13.87   -5.50
 1997    2.25    0.42  -33.83    5.10   37.32
 1998    1.03   -0.33  -24.41  -11.36   40.20
 1999   31.14   -0.35   78.16   20.59   26.16
 2000    2.62   -0.34  -31.03   28.23   13.61
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   20.95   -0.30   40.76   42.72    0.63
 2002   -3.77   -0.35  -33.34   22.16   -3.55
 2003  -49.87   -0.35  -30.11 -151.85  -17.14
 2004  -32.86   -0.35    9.41 -161.86   21.37
 2005   27.87   -0.30    1.47   95.84   14.47
 2006    7.79   -0.34  -18.21   22.83   26.87
 2007    3.56   -0.35  -34.57   61.50  -12.33
 2008    6.54   -0.33  -24.58   66.58  -15.50
 2009   14.29   -0.35   47.29   -2.57   12.80
 2010   -9.37   -0.34  -19.11  -32.34   14.29
 2011   36.86   -0.35   70.77   55.84   21.16
 2012    7.48   -0.30  -24.31   74.81  -20.29
 2013   13.07   -0.34   38.51   39.61  -25.50
 2014  -11.44   -0.34  -10.89  -50.60   16.07
 2015   -6.22   -0.27    5.19    2.75  -32.53
 2016  -23.26   -0.22  -20.78  -45.71  -26.31
 2017    1.33   -0.32  -11.97    8.58    9.04
 2018  -11.70   -0.35  -23.59  -38.39   15.52
 2019  -10.71   -0.26   -7.96   17.39  -52.02
 2020   -8.27    1.04   10.86  -63.95   18.96
 2021  -15.62   -0.30   -9.23  -56.43    3.49
 2022  -11.57   -0.33    8.95  -78.66   23.77
 2023   15.29    2.83   11.12   70.49  -23.30
 2024   -9.65   -0.35  -24.20   20.99  -35.03
 2025  -41.62   -0.35  -35.63 -107.55  -22.97
 2026    9.43   -0.33  -10.90   77.35  -28.38
 2027   -9.26   -0.29  -31.33    2.55   -7.95
 2028   12.38   -0.34  -17.24   24.88   42.22
 2029   13.29   -0.35    6.65   66.27  -19.39
 2030   67.82    0.90   48.14  134.27   87.96
 2031   -7.52   -0.35    7.12  -23.01  -13.86
 2032    6.19   -0.34  -29.09   19.94   34.24
