Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     NDJ     FMA     MJJ     ASO
        28.89   29.07   30.16   28.61   27.74
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     NDJ     FMA     MJJ     ASO
20th Century Model Run
 1960   -0.03    0.61   -0.13   -0.12    0.07
 1961   -0.37   -0.46   -0.17   -0.47   -0.37
 1962   -0.86   -0.54   -0.60   -1.28   -1.01
 1963   -0.66   -0.87   -1.09   -0.53   -0.15
 1964    0.09   -0.25   -0.11    0.37    0.34
 1965    0.30    0.46    0.71    0.28   -0.27
 1966   -0.67   -0.45   -0.80   -0.91   -0.54
 1967   -0.73   -0.83   -0.95   -0.65   -0.48
 1968   -0.10   -0.61   -0.07   -0.01    0.28
 1969    0.11   -0.12    0.35    0.06    0.13
 1970   -0.04    0.03   -0.29    0.20   -0.09
 1971    0.06   -0.19    0.17    0.18    0.07
 1972   -0.05    0.09    0.02   -0.32    0.00
 1973   -0.44   -0.27   -0.57   -0.53   -0.39
 1974   -0.58   -0.05   -0.37   -1.20   -0.71
 1975   -0.13   -0.67   -0.16    0.11    0.20
 1976    0.36    0.51    0.73    0.14    0.07
 1977    0.03    0.01    0.09    0.01    0.01
 1978   -0.38   -0.20   -0.50   -0.28   -0.54
 1979   -0.25   -0.41   -0.45   -0.10   -0.07
 1980    0.09    0.03    0.09    0.35   -0.10
 1981   -0.12    0.12   -0.09   -0.30   -0.20
 1982   -0.41   -0.47   -0.46   -0.26   -0.47
 1983   -0.28   -0.34   -0.12   -0.31   -0.35
 1984   -0.14   -0.44   -0.07    0.07   -0.10
 1985    0.14    0.29   -0.01    0.17    0.10
 1986   -0.06    0.31   -0.08   -0.19   -0.29
 1987   -0.31   -0.51   -0.10   -0.34   -0.27
 1988   -0.25   -0.15   -0.12   -0.48   -0.24
 1989    0.29    0.12    0.02    0.49    0.52
 1990    0.31    0.46    0.41    0.14    0.24
 1991    0.27    0.23    0.19    0.21    0.44
 1992    0.08    0.45    0.16   -0.09   -0.22
 1993    0.14   -0.01    0.09   -0.05    0.51
 1994    0.71    0.47    0.94    0.81    0.64
 1995   -0.15   -0.26   -0.23   -0.04   -0.07
 1996   -0.06   -0.02   -0.18   -0.06    0.01
 1997    0.20    0.32   -0.02    0.26    0.24
 1998    0.58    0.11    0.49    0.94    0.76
 1999    0.40    0.44    0.39    0.46    0.30
 2000   -0.01    0.05   -0.05   -0.24    0.19
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN    0.31    0.05    0.31
 2002    0.50    0.62    0.30    0.49    0.58
 2003    0.07    0.04    0.06    0.08    0.10
 2004    0.21   -0.02   -0.13    0.21    0.78
 2005    0.93    0.73    0.96    1.08    0.95
 2006    0.25    0.61   -0.03    0.13    0.27
 2007    0.37    0.13   -0.02    0.64    0.71
 2008    0.77    0.78    0.90    0.94    0.47
 2009    0.33    0.12    0.33    0.32    0.55
 2010    0.78    0.64    0.32    1.01    1.13
 2011    0.67    0.64    0.84    0.77    0.44
 2012    0.38    0.48    0.44    0.18    0.41
 2013    0.28    0.22    0.11    0.38    0.40
 2014    0.59    0.62    0.47    0.63    0.66
 2015    0.91    0.85    1.05    0.91    0.83
 2016    0.72    0.66    0.68    0.69    0.83
 2017    0.82    0.86    0.75    0.82    0.84
 2018    0.74    0.91    0.64    0.76    0.64
 2019    0.30    0.55   -0.10    0.12    0.61
 2020    0.81    0.71    0.47    1.02    1.03
 2021    1.29    1.37    1.31    1.50    0.98
 2022    0.79    1.05    1.09    0.33    0.70
 2023    0.65    0.67    0.49    0.54    0.90
 2024    1.06    1.17    0.73    0.94    1.40
 2025    1.26    1.22    1.48    1.35    1.00
 2026    0.74    0.97    0.40    0.66    0.94
 2027    1.02    1.00    1.03    1.01    1.03
 2028    0.96    0.93    0.46    1.16    1.29
 2029    1.28    1.34    1.04    1.43    1.30
 2030    1.24    1.36    1.25    1.09    1.26
 2031    1.10    1.24    0.95    0.98    1.22
 2032    1.18    1.26    0.87    1.17    1.42
 2033    1.27    1.67    1.17    1.04    1.22
 2034    1.16    1.17    1.14    1.18    1.15
 2035    1.39    1.43    1.30    1.29    1.55
 2036    1.60    1.74    1.45    1.61    1.57
 2037    1.01    1.21    1.09    0.69    1.07
 2038    1.38    1.31    1.52    1.40    1.28
 2039    1.52    1.24    1.68    1.48    1.67
 2040    1.74    1.33    2.09    1.92    1.62
 2041    1.55    1.67    1.63    1.49    1.42
 2042    1.18    1.49    1.35    0.89    0.98
 2043    1.36    1.46    0.89    1.52    1.59
 2044    2.01    1.71    2.19    2.13    2.01
 2045    1.48    1.54    1.68    1.36    1.34
 2046    1.79    1.55    1.74    2.04    1.85
 2047    1.82    1.40    2.49    1.67    1.70
 2048    1.58    1.50    1.37    1.52    1.93
 2049    1.98    1.87    1.94    2.01    2.10
 2050    2.28    2.05    2.37    2.54    2.14
 2051    1.56    1.91    1.44    1.29    1.59
 2052    1.49    1.33    1.43    1.33    1.86
 2053    2.16    2.02    2.25    2.34    2.02
 2054    1.85    1.87    1.61    1.99    1.94
 2055    1.69    1.48    1.71    1.58    2.01
 2056    2.19    1.77    2.11    2.60    2.29
 2057    2.22    2.30    2.13    2.08    2.37
 2058    1.62    2.00    1.44    1.31    1.74
 2059    1.86    1.55    1.52    1.90    2.46
 2060    2.63    2.80    2.87    2.53    2.34
 2061    1.99    2.19    1.82    1.67    2.27
 2062    2.32    1.96    2.30    2.40    2.63
 2063    2.59    2.42    2.45    2.90    2.61
 2064    2.11    2.43    1.93    2.15    1.91
 2065    2.26    2.15    2.16    2.25    2.46
