Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     NDJ     FMA     MJJ     ASO
        233.0   171.4   195.4   266.5   298.8
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960  -17.07  -66.15  -42.33    5.16  -38.77
 1961    9.10   38.94   16.97  -29.48    9.99
 1962    5.70  -23.47   22.45   23.03    0.79
 1963   21.78   69.09   16.44  -29.29   30.88
 1964   -0.43    5.36   -6.56   -6.28    5.76
 1965    2.34   50.75  -18.39   -5.94  -17.07
 1966    4.85    7.94   16.75   -2.79   -2.48
 1967   17.31   45.84   15.30  -11.85   19.96
 1968   -4.97  -53.57  -34.61   37.44   30.86
 1969  -19.70  -25.02  -27.49   -0.83  -25.48
 1970  -13.32    2.43  -20.87  -38.12    3.27
 1971    4.62   27.82  -12.34   -4.90    7.89
 1972   -9.64   -7.77  -24.76    7.37  -13.38
 1973   15.69   43.51   42.68   -3.82  -19.61
 1974   -7.79   -5.53  -16.23  -16.99    7.57
 1975   -3.95   10.67  -13.92   10.27  -22.80
 1976   21.90  -19.00   37.51    2.77   66.30
 1977   -2.19  -26.83  -24.04   17.31   24.77
 1978   11.88   34.90    9.12   -3.24    6.75
 1979   12.63   17.39  -24.82   31.80   26.15
 1980   -4.06  -21.29   10.03   12.43  -17.42
 1981   -0.56  -15.49   15.70   -2.52    0.08
 1982    7.00   -0.89    4.24   27.28   -2.63
 1983   -0.53   18.78    8.86    5.20  -34.94
 1984  -14.46  -65.30  -23.95    8.03   23.39
 1985    9.33    1.14   13.56   15.24    7.36
 1986   14.11    1.12   40.58   13.77    0.95
 1987    8.64   11.66   37.89  -17.98    2.98
 1988   -9.64   10.13   -3.14  -29.19  -16.37
 1989   17.90   10.10   18.19   14.93   28.35
 1990    3.42   -7.97  -14.10   35.09    0.66
 1991   -0.08   21.17   -2.30  -28.14    8.94
 1992  -28.86  -12.29  -27.94  -13.30  -61.89
 1993  -13.04    7.78  -29.41   -3.52  -27.01
 1994    3.78  -30.36   13.76   -7.73   39.45
 1995   -5.61  -28.94    9.27    2.93   -5.71
 1996   -3.79   25.49   -7.89   14.67  -47.45
 1997   -1.56    3.00   19.34   -3.73  -24.86
 1998    0.76    1.48   -8.34  -27.86   37.76
 1999  -12.55   -6.93  -26.68  -18.06    1.45
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000  -10.36 -103.73  -34.34  -22.30   15.59
 2001   14.35   51.05   31.81    7.30  -32.74
 2002   -1.50   27.92   -8.60  -28.77    3.47
 2003  -19.24   -5.97  -24.91  -25.83  -20.24
 2004    0.59    1.19   20.56   -1.29  -18.09
 2005  -20.49  -52.03   -2.01  -39.02   11.11
 2006    1.23   37.63    0.77  -25.21   -8.27
 2007   11.24   16.77  -19.74   62.10  -14.15
 2008  -19.45   -8.58   -1.85  -35.61  -31.76
 2009  -30.29  -30.95  -25.48   21.43  -86.14
 2010  -14.72  -15.80    1.23   10.16  -54.48
 2011    6.07   -5.00    9.67    6.28   13.32
 2012   53.85   75.26   74.67   24.28   41.18
 2013   -4.94   23.12  -18.42  -28.24    3.77
 2014   10.87  -11.19   30.96   19.29    4.44
 2015    7.30    6.15  -20.70   12.36   31.40
 2016    7.70    0.27   17.61    2.70   10.23
 2017   14.17   18.77   17.19   33.70  -12.98
 2018   11.69   28.79    6.31   33.47  -21.81
 2019    2.83   -5.42   22.83    2.16   -8.25
 2020    3.03    0.11   17.18  -19.26   14.09
 2021   37.32   69.16   73.87    5.25    1.00
 2022   31.79   46.36   31.73   17.76   31.31
 2023    7.48    8.19   -4.60   -9.12   35.46
 2024   -4.59   10.15  -12.92    5.58  -21.17
 2025    2.91    6.67  -13.74   -2.13   20.85
 2026   13.56    1.83    5.04   -4.79   52.18
 2027    0.67  -15.36  -23.30   14.74   26.61
 2028    5.80   13.38   -5.99   12.48    3.32
 2029  -12.06  -10.53  -29.00  -13.53    4.81
 2030  -25.26  -21.17  -50.67    0.72  -29.93
 2031   -2.66   14.45    3.27  -15.17  -13.20
 2032  -31.01    0.80  -53.94  -39.13  -31.78
 2033   -2.62  -31.57   -5.76   28.66   -1.82
 2034  -17.93  -42.16  -22.68    5.64  -12.51
 2035   -0.84   36.80    7.69    1.90  -49.75
 2036   40.55   26.05   58.39   45.17   32.59
 2037    4.36    1.88  -23.96   19.55   19.95
 2038   -0.13  -19.72  -15.95   21.79   13.36
 2039    4.49   -8.76   11.68    9.25    5.79
 2040    9.41   -4.86   17.09    5.09   20.32
 2041   30.67   19.01   37.22    5.49   60.97
 2042   24.92   24.40   31.11  -13.03   57.20
 2043   23.39   42.36   44.51   -8.79   15.47
 2044   22.38   20.58   34.73   -7.19   41.40
 2045   -7.03    8.24   41.08    8.74  -86.17
 2046   22.55    6.34   44.85   29.23    9.77
 2047   18.09   31.66   36.20    5.25   -0.73
 2048   -0.20   18.51   16.43  -24.26  -11.47
