Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 YEAR  Annual     NDJ     FMA     MJJ     ASO
20th Century Model Run
 1960    0.22    0.73    0.32    0.47    0.38
 1961    0.09    0.18    0.63    0.39    0.25
 1962    0.14    0.18    0.24    0.27    0.33
 1963    0.19    0.29    0.58    0.35    0.09
 1964    0.09   -0.02    0.33    0.37    0.34
 1965    0.30    0.46    0.71    0.28    0.22
 1966    0.24    0.15    0.22    0.45    0.14
 1967    0.23    0.13    1.01    0.33    0.36
 1968    0.01    0.28    0.08    0.19    0.28
 1969    0.15    0.34    0.38    0.59    0.13
 1970    0.47    0.15    0.78    1.02    0.59
 1971    0.30    0.59    0.62    0.35    0.25
 1972    0.05    0.09    0.17    0.25    0.03
 1973    0.10    0.13    0.27    0.37    0.19
 1974    0.07    0.09    0.47    0.53    0.37
 1975    0.51    0.51    1.22    0.57    0.23
 1976    0.36    0.51    0.73    0.23    0.76
 1977    0.27    0.43    0.34    0.57    0.56
 1978    0.23    0.50    0.36    0.41    0.14
 1979    0.20    0.12    0.49    0.41    0.21
 1980    0.45    0.39    0.79    0.58    0.50
 1981    0.51    0.71    1.09    0.52    0.38
 1982    0.41    0.74    0.87    0.27    0.41
 1983    0.49    0.49    0.84    0.67    0.57
 1984    0.63    0.37    0.88    0.94    0.38
 1985    0.14    0.30    0.41    0.55    0.30
 1986    0.32    0.47    0.47    0.49    0.41
 1987    0.47    0.61    0.82    0.74    0.52
 1988    0.40    0.59    0.47    0.47    0.66
 1989    0.33    0.42    0.63    0.49    0.52
 1990    0.34    0.46    0.42    0.53    0.81
 1991    0.56    1.12    0.98    0.70    0.52
 1992    0.24    0.45    0.40    0.15    0.19
 1993    0.85    0.89    0.62    0.79    1.12
 1994    0.77    0.86    0.94    0.81    0.64
 1995    0.44    0.54    0.84    0.65    0.59
 1996    0.81    0.92    1.58    0.64    0.49
 1997    0.59    0.91    0.68    0.84    0.63
 1998    0.80    0.95    1.22    0.94    0.76
 1999    0.75    0.87    1.16    0.91    0.79
 2000    0.65    0.66    0.94    0.85    0.79
Projections under SRES A2 scenario
 2000    0.70    1.90    0.79    0.59    0.82
 2001    0.94    0.88    1.25    1.27    0.81
 2002    0.77    0.72    0.79    1.00    0.76
 2003    0.72    0.82    1.45    1.04    0.67
 2004    0.63    0.63    0.81    0.80    1.15
 2005    0.93    0.90    0.96    1.08    0.95
 2006    0.79    0.67    0.96    1.43    0.80
 2007    0.87    0.96    0.84    1.01    1.08
 2008    0.96    1.09    1.22    1.12    0.96
 2009    0.81    1.08    0.86    0.86    1.21
 2010    1.03    1.33    1.32    1.03    1.24
 2011    0.92    1.15    1.25    1.05    0.88
 2012    0.96    1.17    1.40    1.34    0.93
 2013    1.11    1.23    1.44    1.02    0.99
 2014    0.86    1.09    0.99    1.26    0.85
 2015    1.05    0.93    1.32    1.22    1.27
 2016    1.29    1.16    1.46    1.36    1.60
 2017    1.05    1.58    1.12    1.07    1.12
 2018    0.94    1.20    1.03    1.08    1.06
 2019    1.00    1.02    1.09    1.30    1.13
 2020    1.46    1.51    1.80    2.04    1.21
 2021    1.29    1.37    1.31    1.50    1.17
 2022    1.00    1.21    1.09    1.14    1.26
 2023    1.17    1.22    1.39    1.41    1.25
 2024    1.23    1.56    1.49    1.22    1.40
 2025    1.42    1.34    1.59    1.68    1.43
 2026    1.19    1.31    1.31    1.37    1.22
 2027    1.21    1.32    1.64    1.22    1.20
 2028    1.24    1.56    1.59    1.36    1.29
 2029    1.28    1.61    1.45    1.70    1.54
 2030    1.50    1.61    1.93    1.70    1.37
 2031    1.42    1.46    1.87    1.57    1.26
 2032    1.32    1.34    1.46    1.68    1.42
 2033    1.43    1.67    1.77    1.90    1.64
 2034    1.62    1.69    2.25    1.76    1.49
 2035    1.53    1.60    1.34    1.72    1.87
 2036    1.84    1.92    2.24    1.64    1.57
 2037    1.49    1.88    1.79    2.20    1.77
 2038    1.46    1.40    1.61    1.75    1.87
 2039    1.84    2.05    2.14    1.77    1.76
 2040    1.74    2.29    2.09    1.92    1.80
 2041    1.81    1.89    2.15    2.03    1.74
 2042    1.91    2.11    2.39    2.70    1.91
 2043    1.72    1.62    1.91    1.86    1.73
 2044    2.01    1.71    2.21    2.13    2.01
 2045    1.87    1.94    2.40    1.76    1.66
 2046    1.98    1.95    1.82    2.25    2.68
 2047    1.85    1.96    2.49    1.95    2.01
 2048    2.06    2.01    2.07    2.44    2.05
 2049    2.16    2.03    2.85    2.44    2.10
 2050    2.28    2.05    2.37    2.54    2.14
