Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
 YEARAnnualNDJFMAMJJASO
20th Century Model Run
 1960  -17.07  -94.96  -42.33  -58.34  -38.77
 1961  -22.33  -31.94  -32.42  -83.52  -31.64
 1962  -30.68  -25.35  -74.39  -62.72  -45.57
 1963  -25.19  -31.47  -30.86  -36.10  -59.52
 1964  -36.90  -40.21  -30.78  -77.66  -62.62
 1965  -30.95  -44.83  -18.39  -64.02  -45.67
 1966  -11.60  -36.66  -35.44  -42.59  -25.45
 1967  -37.70  -36.28  -29.80  -46.55  -42.63
 1968  -22.21  -53.57  -43.12  -33.73  -22.63
 1969  -29.20  -26.30  -40.87  -48.65  -58.25
 1970  -26.08  -27.56  -40.52  -61.23  -39.41
 1971  -13.00  -24.57  -37.16  -46.63  -39.96
 1972  -18.87  -58.38  -24.76  -26.92  -50.03
 1973  -10.51  -37.36  -10.05  -25.01  -57.12
 1974  -29.47  -23.80  -36.92  -39.40  -50.90
 1975  -22.29  -49.96  -49.61  -38.70  -54.93
 1976  -51.58  -28.10  -68.88  -97.58  -16.35
 1977  -12.66  -27.34  -42.63  -46.28  -41.37
 1978  -18.21  -21.41  -25.34  -50.58  -37.53
 1979   -5.45  -46.12  -24.82  -41.33  -47.43
 1980  -28.44  -32.14  -29.57  -58.19  -60.24
 1981  -11.08  -28.24  -20.77  -29.37  -46.70
 1982  -19.86  -38.85  -36.27  -27.51  -33.83
 1983  -25.79  -43.81  -52.73  -35.10  -50.88
 1984  -30.03  -65.30  -40.25 -108.97  -21.78
 1985  -23.24  -52.49  -31.24  -32.49  -43.87
 1986  -18.65  -29.69  -16.78  -25.69  -31.16
 1987  -17.75  -35.97  -49.58  -19.44  -45.85
 1988  -26.64  -26.84  -30.00  -57.05  -46.32
 1989  -18.09  -28.26  -42.18  -12.88  -32.53
 1990  -21.15  -28.16  -42.52  -50.04  -38.16
 1991  -28.80  -28.54  -43.70  -48.04  -54.47
 1992  -28.86  -38.04  -28.85  -45.53  -61.89
 1993  -25.89  -31.66  -29.41  -52.29  -66.85
 1994  -31.16  -34.10  -39.56  -55.88  -45.84
 1995  -23.51  -49.21  -30.67  -52.38  -52.90
 1996  -19.95  -30.02  -59.23  -32.81  -47.45
 1997   -8.66  -25.89  -30.78  -20.35  -51.96
 1998  -41.13  -50.36  -47.69  -33.95  -79.80
 1999  -24.26  -18.27  -26.68  -44.51  -54.74
 2000  -16.85  -37.29  -31.19  -34.35  -37.82
Projections under SRES A2 scenario
 2000  -10.36 -103.73  -34.34  -74.20  -12.32
 2001  -17.02  -30.04  -48.65  -38.29  -32.74
 2002  -33.20  -52.74  -31.78  -53.82  -52.32
 2003  -23.33  -49.09  -51.89  -45.95  -60.31
 2004  -28.63  -52.99  -23.03  -75.76  -61.09
 2005  -22.29  -52.03  -31.79  -81.84  -45.80
 2006  -13.92  -35.48  -47.72  -63.19  -24.85
 2007  -11.63  -26.66  -34.69  -22.14  -38.44
 2008  -19.45  -49.98  -28.49  -35.61  -31.76
 2009  -30.29  -30.95  -41.82  -31.23  -86.14
 2010  -19.00  -38.76  -26.30  -69.68  -54.48
 2011  -21.21  -33.90  -42.96  -36.41  -14.33
 2012  -21.18  -22.06  -56.89  -35.09  -50.19
 2013  -21.38  -38.51  -57.81  -62.74  -34.54
 2014  -14.14  -29.34  -53.21  -34.40  -38.31
 2015  -39.82  -46.23  -30.56  -44.14  -93.62
 2016  -24.91  -55.53  -61.84  -45.51  -25.02
 2017  -15.07  -23.61  -39.91  -47.98  -42.27
 2018  -22.40  -41.34  -24.65  -34.36  -66.24
 2019  -27.85  -45.73  -44.75  -40.13  -59.23
 2020  -26.94  -42.45  -36.32  -50.58  -47.49
 2021  -18.42  -31.75  -55.47  -53.33  -40.18
 2022  -48.13  -36.31  -99.13  -36.95  -54.21
 2023  -20.20  -26.84  -35.16  -77.86  -16.89
 2024   -4.59  -35.31  -12.92  -35.35  -21.17
 2025  -29.70  -43.40  -46.25  -47.00  -45.55
 2026  -22.66  -40.17  -39.18  -35.16  -16.31
 2027  -17.52  -34.60  -68.07  -68.06   -9.17
 2028  -19.44  -40.10  -29.13  -41.80  -37.49
 2029  -24.86  -32.69  -51.29  -38.96  -30.30
 2030  -25.26  -35.42  -53.43  -55.43  -29.93
 2031  -21.42  -63.69  -27.50  -47.61  -13.20
 2032  -31.01  -33.78  -53.94  -39.13  -41.59
 2033  -30.52  -44.84  -53.32  -47.30  -27.54
 2034  -31.24  -57.16  -54.58  -20.81  -23.48
 2035  -20.28  -53.23  -52.60  -56.85  -49.75
 2036  -16.31  -36.45  -27.54  -49.82  -79.97
 2037  -21.27  -37.22  -34.25  -59.12  -24.24
 2038  -20.82  -36.91  -38.07  -56.73  -26.16
 2039  -19.90  -35.33  -33.55  -38.80  -25.54
 2040  -34.62  -35.54  -37.03  -25.02  -56.81
 2041  -15.18  -36.39  -57.68  -46.61  -43.85
 2042  -35.24  -41.51  -74.18  -34.37  -70.37
 2043  -38.63  -48.26  -35.34  -60.66  -30.54
 2044  -27.33  -41.74  -28.85  -44.88  -86.87
 2045  -38.58  -27.60  -71.17  -62.98  -86.17
 2046  -43.06  -26.30  -31.54  -93.54  -77.26
 2047  -15.10  -47.13  -40.83  -38.16  -33.17
 2048   -8.64  -47.64  -36.88  -27.03  -11.47
 2049  -21.63  -30.94  -21.32  -37.23 -110.70
 2050  -30.96  -29.86  -34.40  -26.88  -63.79
 2051  -23.03  -42.17  -38.67  -25.65  -74.71
 2052  -22.52  -39.57  -66.99  -37.99  -31.84
 2053  -23.07  -37.62  -65.58  -78.04  -29.88
 2054  -24.75  -53.61  -59.50  -31.05  -64.14
 2055  -15.82  -58.93  -54.34  -33.19   -2.43
 2056  -26.71  -50.43  -48.08  -74.82  -41.93
 2057  -26.95  -36.57  -29.10  -41.15  -20.08
 2058  -24.86  -36.01  -52.42  -26.85 -100.97
 2059  -16.23  -32.13  -39.07  -45.92  -34.12
 2060   -7.78  -45.14  -21.93  -30.20  -29.78
 2061  -36.33  -31.12  -68.22  -50.95  -47.19
 2062  -32.29  -49.50  -57.33  -35.28  -99.29
 2063  -34.37  -32.35  -58.11  -68.48  -44.82
 2064  -23.15  -38.77  -50.28  -34.87  -30.14
 2065  -29.76  -40.91  -34.65  -40.49  -56.17
 2066  -29.27  -40.97  -47.76  -87.89  -31.86
