Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual      JF     MAM    JJAS     OND
        192.6   123.7   246.5   168.7   216.6
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960  -33.87   35.64  -22.34  -75.86  -35.74
 1961   -7.68  -18.95   -9.57   -4.54   -2.46
 1962   19.58   57.17    4.79   18.48   10.79
 1963   12.15   -6.18   18.64   23.74    2.42
 1964   -3.83   13.49   12.19    5.25  -43.51
 1965    7.13   45.55   -8.84    9.27   -5.35
 1966  -17.75  -11.25   12.81  -49.32  -10.56
 1967   15.14  -29.02    2.97   25.74   42.63
 1968   10.36    1.13   -0.57   17.56   17.82
 1969  -15.38  -24.11   -0.46  -21.61  -16.18
 1970  -21.02  -47.24  -11.36  -46.66   21.00
 1971  -22.90  -39.65  -31.54  -20.45   -6.34
 1972    9.17   33.65   15.75    8.79  -13.20
 1973   -6.85  -31.75   18.32    5.45  -31.84
 1974  -45.35  -23.68  -31.54  -60.95  -52.80
 1975    3.74  -39.18   21.79   -1.82   21.70
 1976   13.90   17.59   21.64    5.77   14.54
 1977    6.68  -20.63   12.66   18.06    3.73
 1978    1.41   18.09  -17.35   16.27  -10.76
 1979   11.30    7.81   -7.31   18.51   22.62
 1980   16.85   36.92    8.35   32.30   -8.62
 1981    2.47   14.31  -27.03   16.54    5.30
 1982   -8.66   39.07   -9.65  -22.49  -21.05
 1983  -19.68  -26.83  -31.03  -44.10   28.98
 1984  -25.81   -4.11  -41.59  -50.02    7.77
 1985    4.30  -20.24   13.33   43.22  -40.26
 1986   15.20   17.79    1.30   21.44   19.04
 1987    4.66   53.11   14.37  -16.77   -8.79
 1988    8.46    7.16   -5.81   25.18    1.30
 1989   17.59   15.01   10.01   30.16   10.14
 1990   20.00   47.99   -1.41   36.06    1.34
 1991   10.99   29.26   14.23    6.90    1.03
 1992   21.13    6.07   -4.10   49.55   18.50
 1993   17.55  -17.55   40.95   26.13    6.12
 1994    8.21  -10.36   11.57   13.79    9.78
 1995    4.28   -0.96  -15.77    3.44   28.97
 1996   -8.44  -23.63   13.84  -22.70   -1.58
 1997  -18.53   16.48   20.92  -62.60  -22.54
 1998  -27.43  -26.57  -18.14  -51.55   -5.15
 1999    6.78  -27.95   14.59   22.57    1.07
 2000   11.49   56.10   22.80   -6.29   -5.85
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   10.19   37.28   -8.02   13.45    5.99
 2002   -3.92   31.86  -13.09  -13.67   -5.58
 2003    8.45   44.27   -9.41   26.38  -21.50
 2004    3.46   -3.93    2.36    7.55    4.05
 2005   15.15    9.73   10.68   23.92   11.56
 2006   13.92    6.51  -15.14   41.73   10.82
 2007   -7.41   -3.12  -21.63  -25.12   27.55
 2008   16.72  -28.19   13.71   36.83   22.86
 2009   -1.57  -25.06   26.88  -14.18    2.45
 2010  -33.98  -28.13    3.85  -63.64  -36.16
 2011    0.98    5.56   15.65  -12.19    0.81
 2012   26.67   46.05   -8.35   43.75   26.01
 2013   -9.37    6.07   22.21  -35.91  -15.84
 2014    7.24   46.64   25.15  -14.28   -8.22
 2015    5.30   10.83   -1.87   13.74   -2.46
 2016   13.25   10.61   -5.67   17.04   28.88
 2017  -12.89    2.96   11.34  -32.92  -20.96
 2018   11.36   42.84    1.71   18.71   -9.79
 2019    4.20    4.84    8.21  -20.19   32.29
 2020  -29.88  -33.19   -7.94  -51.29  -21.05
 2021   11.28   34.08    4.24   28.93  -20.40
 2022    7.46   43.20    6.46    9.00  -17.41
 2023  -23.14   16.84   25.03  -62.37  -45.68
 2024   19.80    7.14   34.37   15.98   18.76
 2025    5.21  -31.12   24.00   -0.91   18.80
 2026   -0.22   18.46  -22.98   12.80   -7.26
 2027    6.67   12.31   -1.34   12.90    2.61
 2028   -6.29   -9.18   -4.75    0.56  -15.04
 2029   -0.96  -12.45   33.28  -34.94   17.77
 2030   10.62  -50.08    5.38   54.08   -1.62
 2031   12.87   -7.01  -18.03   44.03   15.49
 2032   -1.82    4.74    9.33   -7.44   -9.83
 2033   -1.29    9.18  -30.25   -1.20   20.56
 2034   14.21  -17.73   23.90   25.01   11.43
