Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      NDJ      FMA      MJJ      ASO
          9.93    10.05    10.05    10.09    10.05
Timeseries (% days occurring)
Year    Annual      NDJ      FMA      MJJ      ASO
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.26    10.87    10.78     8.18     3.36
1962     13.75    14.67    11.10    18.10    14.14
1963     18.74    21.45    27.46    22.00    15.32
1964     27.29    31.89    23.13    26.41    33.79
1965     31.75    24.38    35.33    36.30    34.21
1966     27.99    17.28    32.11    33.79    33.00
1967     23.51    13.57    20.76    38.05    29.18
1968     12.08     9.10    16.30    20.95    11.65
1969     16.07     5.08    18.55    19.35    26.61
1970     14.00    10.61     7.28    13.66    20.06
1971     23.61    21.89    22.44    26.29    27.81
1972     13.74    12.51    13.07    21.31    11.60
1973      9.91     6.59     4.44    15.51    12.43
1974     11.15    14.72    12.22    11.62    12.18
1975     16.13    21.28    15.06     6.24    23.56
1976     15.86    18.98    18.07    13.39    11.15
1977      9.53     5.08     8.08    14.92    10.27
1978     10.72     5.84     6.11    12.97    16.72
1979      9.09     3.27    11.97     7.16    14.02
1980      5.08     4.95     8.19     3.18     4.04
1981     11.61    27.89    12.78     2.10     2.02
1982     16.82    27.68     3.31     8.08    15.54
1983     29.32    15.51    37.48    41.76    23.82
1984      7.83     6.48    16.30     4.84     6.97
1985      6.21    10.15     7.56     4.73     4.55
1986      9.96    14.07    15.34     7.10     4.69
1987      4.44     3.58    12.40     2.17     5.22
1988      5.43     6.58     2.32    11.94     2.44
1989      3.92     6.53     1.16     2.79     3.21
1990      5.38     2.82     5.29     2.82     6.97
1991     10.29     4.19     3.76    13.36    18.51
1992      6.20     5.82     3.24    13.39     4.92
1993      8.20     7.82    12.20     3.86    10.68
1994      5.55     4.56     9.15     5.87     2.36
1995      6.28    10.80     7.83     2.30     4.59
1996      5.84     4.44     8.79    10.31     3.37
1997      2.99     1.86     3.69     3.69     4.71
1998     10.20     8.37    10.35    14.22    11.99
1999      2.72     6.54     1.48     0.99     1.04
2000      4.70     7.82     5.37     1.06     4.11
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
