Mean Temperature (Degrees C) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     NDJ     FMA     MJJ     ASO
      24.1601      24.2958      25.0513      23.8608      23.4326
Timeseries in Anomalies relative to 1971-2000 mean (degrees C)
 Year  Annual     NDJ     FMA     MJJ     ASO
 1960   -0.39   -0.25   -0.66   -0.44   -0.22
 1961   -0.44   -0.37   -0.53   -0.45   -0.53
 1962   -0.39   -0.70   -0.65   -0.42   -0.48
 1963   -0.12   -0.59   -0.62    0.11   -0.04
 1964   -0.48   -0.34   -0.26   -0.57   -1.00
 1965   -0.68   -0.97   -0.84   -0.55   -0.46
 1966   -0.40   -0.42   -0.65   -0.32   -0.48
 1967   -0.41   -0.35   -0.32   -0.46   -0.50
 1968   -0.47   -0.43   -1.00   -0.54    0.06
 1969   -0.32   -0.55   -0.11   -0.31   -0.33
 1970   -0.31   -0.52   -0.45   -0.27   -0.09
 1971   -0.63   -0.78   -1.13   -0.25   -0.34
 1972   -0.69   -0.92   -1.07   -0.47   -0.31
 1973   -0.15   -0.14   -0.17   -0.28   -0.02
 1974   -0.53   -0.67   -0.73   -0.27   -0.45
 1975   -0.60   -0.64   -0.75   -0.49   -0.53
 1976   -0.62   -0.45   -0.74   -0.72   -0.61
 1977   -0.19   -0.44   -0.15   -0.28   -0.15
 1978   -0.22   -0.08   -0.25   -0.42   -0.40
 1979   -0.25   -0.35   -0.59   -0.18   -0.02
 1980   -0.15   -0.10   -0.27   -0.26   -0.08
 1981   -0.23   -0.18   -0.21   -0.26   -0.31
 1982   -0.31   -0.21   -0.17   -0.58   -0.47
 1983   -0.04   -0.33    0.34   -0.71   -0.47
 1984   -0.11   -0.34   -0.25   -0.29    0.10
 1985   -0.22   -0.18   -0.48   -0.28   -0.26
 1986   -0.32   -0.19   -0.62   -0.20   -0.40
 1987    0.18   -0.21   -0.08    0.43    0.25
 1988    0.16    0.33    0.15   -0.06    0.13
 1989   -0.32   -0.50   -0.35   -0.38   -0.04
 1990   -0.11   -0.06    0.08   -0.76   -0.31
 1991   -0.12   -0.42   -0.23   -0.02   -0.32
 1992   -0.42   -0.63    0.01   -0.41   -0.66
 1993   -0.16   -0.38   -0.41   -0.04   -0.04
 1994   -0.01   -0.02   -0.09   -0.05   -0.03
 1995    0.21    0.22   -0.08    0.24    0.08
 1996    0.02    0.07    0.08   -0.30   -0.56
 1997   -0.16   -0.38   -0.55   -0.31    0.37
 1998    0.48    0.07    1.06    0.52    0.26
 1999    0.16    0.06    0.08    0.33   -0.07
 2000   -0.17   -0.13   -0.12   -0.12   -0.30
 2001   -0.11   -0.29    0.02    0.01   -0.32
 2002    0.23    0.07    0.18    0.28   -0.02
 2003    0.30    0.30   -0.01    0.21    0.39
 2004    0.24    0.37    0.16    0.08    0.16
 2005    0.12    0.37    0.03   -0.06    0.15
 2006    0.35    0.47    0.26    0.35    0.33
