Mean Monthly Precipitation (mm) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
       Annual     NDJ     FMA     MJJ     ASO
        180.2   137.8   175.5   153.3   254.3
Timeseries in anomalies relative to 1970-1999 mean (mm)
YEAR   Annual     NDJ     FMA     MJJ     ASO
1960      NaN     NaN     NaN     NaN     NaN
1961    -6.82   -3.50    2.70  -33.13  -19.43
1962    22.08   11.28   48.79   37.53   -9.28
1963    10.77   25.29   23.38   48.69  -54.29
1964     6.06   19.65   37.80  -21.62  -11.59
1965    14.32   69.90   26.47  -11.59  -27.51
1966    16.14   11.28   31.39   39.57  -17.67
1967    22.25   30.66    8.25   43.96    6.14
1968     6.82   26.94   49.23   -6.35  -42.55
1969    27.72   63.39   59.43  -24.08   12.13
1970    22.26   21.80   35.39   -4.94   36.77
1971    15.11   -1.54    1.19    2.05   58.75
1972    -3.52  -23.28    5.85  -19.56   22.92
1973    -8.12   35.24  -12.98  -16.57  -38.19
1974     1.86    7.15    9.68    4.23  -13.62
1975   -18.64  -16.76    7.04  -30.60  -34.25
1976     6.04   27.53   18.70   -8.81  -13.26
1977    29.64   74.27  -17.51    6.69   55.13
1978    -9.97  -46.10   47.02  -16.00  -24.80
1979    15.09    2.31   66.49   17.55  -25.99
1980     7.00   34.88  -32.23  -24.12   49.47
1981    -9.00  -21.15   11.15   -4.91  -21.07
1982     4.16   23.60  -27.63   -1.28   21.95
1983   -61.67  -37.92  -74.33  -54.55  -79.86
1984    14.14   -8.73   -7.50   50.55   22.23
1985    11.38   -4.36   -2.17   15.54   36.53
1986     8.25   15.52   -4.30   14.18    7.60
1987    -8.97  -31.25   -4.24   -3.42    3.03
1988    16.29  -25.63   -5.35   82.09   14.05
1989   -25.46  -21.49  -46.01  -14.53  -19.81
1990   -15.92  -44.13  -66.18   36.37   10.27
1991    -3.12   10.23    3.38   10.32  -36.43
1992   -25.12  -48.78   19.52  -36.69  -34.51
1993    -0.20  -20.36   26.27  -23.01   16.30
1994    29.70   78.93  -12.34   17.84   34.36
1995    -1.07  -12.19   13.33  -32.92   27.51
1996    10.27   -3.23   64.66   28.26  -48.61
1997   -27.13  -80.02   -3.76   -4.11  -20.63
1998     5.61   18.06  -50.75   -8.07   63.21
1999    21.10   97.41   37.63   18.42  -69.05
2000   -12.71   -4.33    6.66  -56.38    3.20
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
