Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
 2073  -23.34    8.58 -105.11  -53.34   56.50
 2074    3.32   14.03  -10.87    9.66    0.48
 2075  -32.76  -10.82  -65.24  -82.09   27.11
 2076    6.91   13.04  -26.02   -6.32   46.95
 2077   -1.26  -15.67   -4.30   21.93   -6.99
 2078  -32.50   -8.50  -43.94  -93.96   16.38
 2079  -39.77   -8.61  -88.27  -77.98   15.77
 2080  -11.20    1.99  -40.07  -53.94   47.23
 2081   -3.96   -5.28    2.95  -10.18   -3.34
 2082   -8.54  -15.40   -8.63 -104.20   94.07
 2083  -28.34    9.48  -39.22  -99.78   16.16
 2084    2.60  -14.19   34.72  -12.18    2.04
 2085  -12.20   -5.43  -45.58  -86.95   89.16
 2086  -28.98   -6.78  -17.87  -79.92  -11.33
 2087  -40.71  -12.66  -89.74  -85.27   24.85
 2088  -40.57   -9.70  -37.25 -130.74   15.42
 2089  -32.10   -5.65  -53.73  -52.72  -16.29
 2090    0.06   -3.53   31.76  -17.91  -10.07
 2091  -36.86    0.34  -23.46 -115.94   -8.37
 2092   -9.41    3.37   17.93  -72.23   13.26
 2093  -19.01  -12.71  -57.51  -51.25   45.43
 2094  -39.85    6.21  -89.35 -129.42   53.15
 2095  -35.14   -9.81  -62.61  -95.70   27.55
 2096   12.94   -2.71   22.04  -66.24   98.68
 2097  -58.21   -2.90  -66.92 -137.65  -25.37
 2098  -17.48  -14.07  -20.33  -23.35  -12.18
 2099  -12.62  -11.12   -1.73  -63.53   25.90
 2100  -31.75   -7.13  -29.16 -116.14   25.41
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   17.34   -5.50   21.58   48.61    4.67
 2002    7.23   45.12  -13.26   -2.31   -0.62
 2003   14.05   -0.28   51.42   -0.98    6.02
 2004    7.77   -8.22   18.71   28.88   -8.29
 2005    1.14   10.60  -12.16    5.56    0.58
 2006   -6.13   -5.02  -49.38   37.68   -7.80
 2007   -2.36   -8.89  -18.13  -34.26   51.82
 2008  -20.73    5.18  -41.95  -57.36   11.23
 2009   32.29   31.33   54.05   57.63  -13.86
 2010   27.39   15.92  -10.82   53.55   50.90
 2011  -16.38   16.54  -23.08  -63.89    4.94
 2012  -37.72   -1.97  -40.70  -93.48  -14.73
 2013    0.07    8.17  -13.71   21.95  -16.15
 2014    8.92   11.12  -10.76   27.53    7.79
 2015   20.09    4.87   34.27   43.73   -2.50
 2016    1.30   -5.48  -32.68   17.53   25.83
 2017  -35.69   -2.71  -53.76  -62.02  -24.26
 2018   22.88    0.36   52.55   48.47   -9.88
 2019   -3.35   -2.58   24.93  -50.44   14.69
 2020  -28.54   -6.77  -18.40  -91.55    2.58
 2021   46.93    3.88   71.52   91.81   20.50
 2022   12.58    1.32  -17.07   30.79   35.28
 2023   -2.03    0.76   15.54  -59.69   35.26
 2024    8.40    0.03   19.96   -3.43   17.02
 2025   20.31   16.50   56.72   24.82  -16.82
 2026   21.77   11.95  -29.25  104.17    0.23
 2027  -28.17   -9.60  -52.68  -65.42   15.01
 2028   -6.02    0.70   33.26  -44.55  -13.48
 2029   13.04   -3.91   42.32   -0.02   13.77
 2030    9.74   16.33  -22.16   29.05   15.74
 2031   11.06  -10.28    0.76   47.77    5.99
 2032   27.77   -1.11   55.96   18.54   37.68
 2033  -55.82  -12.82  -68.00  -82.68  -59.78
 2034    1.21   -5.26   13.04   15.82  -18.74
 2035  -11.25    6.23  -12.81  -14.09  -24.35
 2036   -8.86  -11.79  -36.39    8.41    4.35
 2037    2.09    2.34    9.69  -14.12   10.43
 2038  -13.22  -11.61  -35.02   -8.67    2.41
 2039   12.04   -5.08   18.33  -20.05   54.96
 2040   -8.03    7.32  -75.07  -27.25   62.89
 2041    9.23    2.68   -3.17   -2.72   40.13
 2042   -9.82   -4.04  -24.83   -1.68   -8.74
 2043  -19.60   -6.25  -16.44  -49.74   -5.97
 2044   11.31   -2.43    7.97   -5.41   45.12
 2045  -15.58  -11.17    2.14  -66.36   13.08
 2046    5.91  -10.16   72.27  -44.11    5.65
 2047   -7.54   -4.19  -55.30   29.25    0.08
 2048  -33.70    4.50  -17.13 -133.71   11.54
 2049  -16.94    6.60  -67.23  -50.98   43.83
 2050  -20.84  -13.18  -48.01  -69.38   47.22
 2051    4.21   -1.15   -8.39   42.05  -15.66
 2052   -8.56   -8.86  -31.67   22.15  -15.85
 2053   -0.93   -8.53   22.49  -28.02   10.34
 2054  -27.78   -6.20  -61.77  -68.15   24.99
 2055   -4.98   36.10  -31.31  -11.00  -13.71
 2056    1.39   -9.89   11.63  -38.86   42.68
 2057  -14.80    3.16  -21.69  -30.85   -9.81
 2058  -38.44   -1.41  -60.38  -99.39    7.43
 2059   14.22    2.49  -56.03   73.17   37.24
 2060  -17.64   -7.50  -28.92  -66.35   32.19
 2061   13.52    6.12   17.25  -39.61   70.33
 2062    8.49    4.51   32.96  -53.54   50.02
 2063    0.29   -2.42  -33.16  -11.31   48.04
 2064    2.86   -2.89  -27.26  -41.74   83.32
 2065  -17.57   -4.78  -61.51  -36.91   32.89
 2066  -11.66   -7.17    5.81  -42.45   -2.85
 2067  -20.88  -13.40  -46.73  -28.33    4.94
 2068   -3.75   -9.07   21.11  -18.08   -8.97
 2069  -11.30    2.00  -38.72   20.81  -29.30
 2070   20.01    3.97   55.21  -58.83   79.70
 2071  -23.44  -12.94  -16.70  -54.07  -10.06
 2072  -18.23   -1.83  -60.77  -10.95    0.61
 2073   -9.85   -5.47  -11.22  -88.14   65.45
 2074  -18.51   -5.19   30.19  -76.23  -22.81
 2075  -34.04    1.12  -76.12  -45.34  -15.81
 2076    5.68   -1.71   -4.13  -17.76   46.34
 2077  -13.53  -14.86   -8.42  -33.98    3.13
 2078   15.25    2.07   13.47   13.16   32.30
 2079  -15.55   -5.54    0.05  -62.68    5.97
 2080  -26.19  -12.53  -59.40  -59.86   27.04
 2081  -23.43   -4.41  -41.59  -60.93   13.21
 2082   -1.24   12.61    7.61  -78.58   53.39
 2083    1.95    0.17   29.80  -47.31   25.14
 2084  -30.48    2.72  -69.29  -93.17   37.83
 2085   19.89   -9.69   44.24    1.66   43.37
 2086  -13.01   11.01  -50.01   -9.58   -3.47
 2087    9.71   -2.25   27.39    2.24   11.47
 2088  -11.77   -0.82  -16.77  -75.65   46.17
 2089  -20.84   -7.96  -42.24  -71.42   38.27
 2090    4.93  -16.55   62.57  -88.22   61.92
 2091  -39.78   -8.19  -82.26  -49.78  -18.89
 2092  -16.68    6.40  -15.74 -110.45   53.09
 2093  -39.01   -5.18  -32.14 -132.45   13.73
 2094  -38.61   -7.95  -51.27 -107.23   12.02
 2095   -6.97  -17.67   20.21  -33.71    3.28
 2096  -13.21  -11.17    5.53  -25.31  -21.90
 2097  -27.11   -1.16  -39.84  -61.83   -5.60
 2098    6.08   -0.02   38.12  -26.36   12.59
 2099  -47.34   -0.98  -66.99 -155.20   33.81
 2100  -34.91   -7.99  -91.39  -16.86  -23.42
Projections under SRES B1 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   -5.75   13.46  -67.28   44.87  -14.04
 2002   22.66   23.62    1.25   63.22    2.52
 2003   21.52    3.68   24.63   51.27    6.49
 2004    0.50   -7.83  -51.40   38.75   22.46
 2005   20.78   -5.47    0.26   24.69   63.66
 2006    9.58    5.29  -13.37   24.81   21.58
 2007  -19.56   -3.85    6.88  -88.69    7.43
 2008   18.98   -1.30   19.23   70.04  -12.04
 2009   17.35   -0.35   -0.55   78.65   -8.35
 2010   15.88   -2.11   12.93   27.18   25.53
 2011   -1.10   -2.51   -9.72  -10.63   18.47
 2012   13.48   11.45   54.52  -23.46   11.42
 2013   33.38   -0.14    1.12   50.72   81.84
 2014   36.33    9.70   88.18   -0.79   48.24
 2015  -28.56   -0.20  -56.05  -50.88   -7.09
 2016    3.07    6.33   -8.75   -9.90   24.59
 2017   14.71    3.13  -31.35   44.46   42.61
 2018    2.05   28.96    7.27  -54.46   26.43
 2019  -21.68  -18.80   36.49  -86.40  -18.00
 2020    0.48   -4.94  -26.90   35.64   -1.88
 2021   -1.98   -6.63  -59.29   18.29   39.71
 2022   -4.38   -1.93  -21.49   27.91  -22.02
 2023   -4.16    4.83   30.85  -58.05    5.73
 2024  -18.90    1.08  -16.21  -27.47  -32.98
 2025    0.77   -8.21   29.21   20.26  -38.17
