Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
 YEARAnnualJFMAMJJASOND
20th Century Model Run
 1960  -20.75  -11.70  -35.40  -39.77  -32.05
 1961  -16.47   -9.00  -44.14  -19.95  -20.22
 1962  -24.17  -14.19  -62.27  -31.60  -27.84
 1963  -13.53   -5.73  -51.64  -36.76  -30.51
 1964  -30.38  -11.42  -26.39  -71.60  -23.42
 1965  -15.12   -9.89  -29.80  -42.29  -17.36
 1966  -13.44  -14.84  -37.12  -52.90  -17.44
 1967  -42.23   -4.77  -70.04  -88.14  -24.86
 1968  -16.01  -17.67  -11.34  -43.70  -29.02
 1969  -17.79  -17.27  -40.05  -31.84  -39.53
 1970  -27.62  -12.44  -81.20  -38.12  -21.73
 1971  -23.90   -8.92  -44.65  -67.59  -12.05
 1972   -9.54  -14.54  -36.03  -25.05  -15.65
 1973  -19.67   -6.05  -42.51  -21.03  -45.22
 1974  -15.93  -10.90  -62.55  -53.69  -23.70
 1975  -13.16  -13.42  -20.57  -48.64  -34.30
 1976  -36.72  -19.72  -75.62  -64.02  -16.11
 1977  -17.20   -7.71  -58.41  -22.98  -26.62
 1978  -11.88   -9.54  -32.13  -46.07  -39.95
 1979  -19.07  -13.04  -57.20  -29.05  -24.48
 1980  -18.63  -18.16  -33.91  -50.87  -31.92
 1981  -19.54  -21.18  -53.86  -69.01   -9.89
 1982  -35.30  -13.88  -82.26  -77.67  -22.33
 1983  -16.34  -22.33  -20.22  -26.00  -46.33
 1984  -20.41   -7.96  -56.63  -27.19  -26.51
 1985  -15.95  -14.07  -36.70  -22.72  -32.11
 1986  -14.02   -9.28  -55.22  -45.98  -11.51
 1987  -28.56   -9.21  -42.00  -71.66  -35.32
 1988  -14.36  -12.89  -17.82  -33.46  -11.56
 1989  -11.57  -16.01  -41.56  -29.91  -17.04
 1990   -9.51   -9.74  -24.39  -49.33  -18.16
 1991   -7.97  -10.59  -14.06  -90.38  -14.63
 1992  -23.78  -10.89  -62.20  -74.13  -42.79
 1993  -10.93   -6.91  -23.35  -43.70   -7.71
 1994  -19.44  -11.32  -58.77  -28.31  -15.66
 1995  -14.14  -12.07  -23.74  -92.07  -18.10
 1996  -12.12  -16.54  -29.65  -27.99  -10.04
 1997  -19.21   -9.19  -62.17  -57.13  -18.71
 1998  -17.38  -17.56  -30.27  -95.44  -29.29
 1999  -26.95  -13.36  -43.33  -58.27  -29.07
 2000  -15.55  -12.72  -24.02  -37.02  -14.01
Projections under SRES A2 scenario
 2000  -15.87  -15.99  -23.08  -47.16   -9.34
 2001  -11.13   -9.12  -21.44  -26.15  -30.10
 2002   -4.93  -11.61  -24.56   -8.60  -13.39
 2003  -25.23  -10.45  -79.13  -17.45  -20.57
 2004  -12.33  -11.45  -13.43  -43.90  -31.87
 2005  -17.23  -15.44  -40.20  -43.33  -12.49
 2006  -22.47  -13.09  -66.25  -39.82  -16.80
 2007   -9.56  -18.88  -46.20  -19.91  -12.65
 2008  -12.22  -13.78  -29.43  -41.07  -17.87
 2009   -9.33  -13.00  -39.16  -19.10  -58.06
 2010  -12.45   -9.02  -91.31  -39.50  -35.17
 2011  -16.83  -15.21  -53.23  -51.17  -30.51
 2012  -32.17  -13.84  -60.45  -35.13  -22.82
 2013   -8.90  -12.56  -20.95  -25.61  -15.70
 2014   -7.85  -15.67  -46.96  -21.48  -16.23
 2015  -20.61  -15.55  -64.48  -53.77  -17.79
 2016   -7.34  -11.61  -12.59  -42.60  -16.52
 2017  -12.33   -6.77  -44.38  -32.32  -14.13
 2018   -9.83  -14.41  -54.98  -24.50   -8.61
 2019  -11.62  -14.84  -33.62  -26.33  -32.79
 2020  -20.92  -15.13  -50.25  -51.21  -25.47
 2021   -6.26  -17.77  -19.18  -27.82  -15.93
 2022  -14.55  -19.34  -39.57  -10.55  -32.31
 2023  -25.48   -9.77  -56.63  -77.93  -20.09
 2024  -13.84   -9.44  -61.03  -19.62  -19.60
 2025  -19.48  -12.28  -32.65  -73.88  -21.79
 2026  -14.00  -10.65  -24.24  -52.26  -26.34
 2027   -7.85  -19.96  -22.17  -20.95  -17.50
 2028  -11.09  -18.81  -40.50  -28.39  -16.06
 2029  -24.72  -16.06  -57.12  -81.16  -20.50
 2030  -35.66  -15.77  -48.53  -75.92  -19.91
 2031   -4.27   -8.15  -32.45  -26.02  -19.15
 2032  -23.74  -25.08  -85.51  -44.60   -7.08
 2033  -14.85   -9.96  -45.66  -57.93  -23.03
 2034  -37.73  -12.54  -52.74  -70.58  -55.03
 2035  -21.08   -8.31  -21.00  -69.82  -23.96
 2036  -12.72  -13.56  -44.99  -37.97  -10.08
 2037  -30.27  -14.24  -45.13 -100.76  -27.05
 2038  -16.51  -11.46  -27.09  -33.43  -24.94
 2039  -13.18  -13.53  -39.41  -52.03  -26.25
 2040  -27.95   -9.95  -62.49  -61.85  -15.27
 2041  -15.12   -8.49  -47.61   -9.90  -29.33
 2042  -49.91  -13.38  -44.77 -128.66  -17.20
 2043  -18.42  -14.11  -28.82  -59.11  -19.51
 2044  -16.42  -15.82  -59.37  -41.42  -13.57
 2045  -12.85  -13.18  -31.70  -81.08  -37.89
 2046  -28.16  -19.69  -53.77  -53.71  -12.74
