Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
        114.1     3.1    81.9   312.8    58.5
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960  -20.19   -0.75   10.04  -61.33  -28.70
 1961  -10.29   -1.28  -41.77  -23.28   25.18
 1962    4.28   -1.80  -25.29   33.44   10.79
 1963   18.66    1.93   23.32   56.77   -7.41
 1964   -0.14   -0.90  -15.94   26.29  -10.02
 1965    8.49   -0.54   42.70  -28.09   19.88
 1966  -18.35   -1.43  -47.66  -14.22  -10.08
 1967   -5.38   -1.14  -13.61    1.44   -8.22
 1968   -0.82    7.32   34.30   -6.69  -38.22
 1969  -15.01    0.09  -56.99  -13.55   10.41
 1970   11.22   -2.00  -24.33   68.38    2.82
 1971   -2.43    4.44  -14.84    1.62   -0.96
 1972   17.09   -0.42   54.56   20.94   -6.73
 1973   -9.21   -1.37   -2.56  -19.10  -13.82
 1974  -19.67    2.98  -36.52  -73.99   28.87
 1975    2.17   -0.91   16.06   21.33  -27.80
 1976    1.74   -2.31  -11.06   33.87  -13.53
 1977   10.57    0.45  -28.91   33.75   37.00
 1978   -7.27   -1.65   -2.93    6.89  -31.37
 1979   -7.87    0.70   -3.76  -23.87   -4.53
 1980    6.09   -0.63   24.27   17.86  -17.15
 1981   -9.77   -0.75  -24.79  -11.76   -1.80
 1982  -16.30    2.12    1.33  -50.13  -18.52
 1983   -8.99   -1.81  -37.34  -12.08   15.28
 1984    2.61    0.54   28.81  -35.91   17.00
 1985   -7.10    0.27    0.31  -22.07   -6.91
 1986    6.34    1.89    9.75  -16.91   30.62
 1987   17.67    0.29  -13.39   38.44   45.35
 1988   -7.24    0.23   11.81  -20.25  -20.75
 1989  -15.78    2.27    2.55  -30.68  -37.28
 1990    5.43   -1.38    2.79   31.31  -11.00
 1991    2.08   -1.40  -23.41   43.79  -10.66
 1992   -8.55   -1.93  -23.87  -20.50   12.11
 1993   -7.05    0.79   17.35  -36.85   -9.48
 1994  -14.64    0.26  -27.36  -16.48  -14.97
 1995    1.72   -1.22    2.77   12.20   -6.86
 1996   19.31   -0.29   -2.49   50.79   29.21
 1997    8.50   -2.16   87.51  -44.50   -6.87
 1998   23.57    0.98   39.16    3.58   50.57
 1999    5.76    2.02  -21.47   50.34   -7.84
 2000    6.74    5.40   -9.98   27.25    4.30
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   15.12   -0.43   57.34   -2.72    6.31
 2002   15.33    0.15  -33.93   72.02   23.09
 2003  -21.54    0.38  -24.36  -38.73  -23.46
 2004   24.09    2.18   20.64   92.16  -18.64
 2005   -6.78   -2.55   28.07  -63.37   10.71
 2006   27.52    7.08  -12.62   70.97   44.66
 2007    9.90    1.15   31.19   29.55  -22.28
 2008   26.37    5.27   93.84   20.35  -13.99
 2009   12.64   -1.00   14.44   36.72    0.40
 2010   38.17   -1.08   -1.31   55.48   99.57
 2011   -1.50    2.10  -29.21   18.90    2.20
 2012  -16.37    1.53  -20.36  -58.71   12.07
 2013    5.50   -1.97  -14.59   12.70   25.86
 2014    5.65    0.62   13.61   12.94   -4.59
 2015   13.00    2.64  -43.95   45.23   48.08
 2016   -8.36   -1.18  -54.64  -11.71   34.07
 2017  -24.13   -2.86  -20.84  -54.23  -18.57
 2018   13.10    1.72   13.02   36.04    1.61
 2019   31.34    0.80   88.70   19.97   15.87
 2020   14.39    1.48  -42.51   87.82   10.77
 2021    0.51   -0.41  -27.59    0.76   29.25
 2022    5.53   -2.51   38.41    0.07  -13.85
 2023  -27.55    0.22  -44.16  -43.99  -22.28
 2024    3.16   -0.80   -2.51    6.57    9.36
 2025   16.52   -1.19   27.22   26.20   13.88
 2026   -9.53   -2.76  -36.19   -0.05    0.89
 2027   35.60    2.30   74.41   37.23   28.43
 2028    8.08   -0.91   -7.21   -8.36   48.82
 2029   -2.08   -1.04  -43.09   34.54    1.25
 2030   -5.99    2.14   20.60  -57.35   10.65
 2031    1.06   -1.56   27.80  -23.60    1.59
 2032  -40.30   -1.86  -53.21  -79.49  -26.63
 2033   13.57   -0.10   -3.87   68.74  -10.51
