Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
 YEARAnnualJFMAMJJASOND
20th Century Model Run
 1960  -20.19   -2.13  -20.69  -61.33  -28.70
 1961  -10.29   -3.33  -41.77  -23.28  -17.97
 1962  -10.65   -1.80  -25.29  -27.69  -18.86
 1963  -33.43   -1.43  -31.44  -95.75  -11.12
 1964   -7.54   -2.31  -15.94  -22.98  -10.02
 1965   -5.52   -3.13  -16.10  -28.09  -10.18
 1966  -18.35   -1.55  -47.66  -29.07  -10.08
 1967  -19.54   -1.14  -31.70  -51.65  -30.76
 1968  -28.67   -2.54  -39.79  -54.39  -38.22
 1969  -15.01   -0.91  -56.99  -13.55  -33.07
 1970  -14.28   -2.00  -24.35  -47.54  -18.17
 1971  -10.15   -3.24  -16.22  -34.95  -14.72
 1972  -16.92   -1.01  -38.36  -21.08  -12.97
 1973  -16.45   -1.55  -22.59  -30.01  -18.16
 1974  -19.67   -5.06  -36.52  -73.99  -16.62
 1975  -12.09   -1.71  -19.28  -33.87  -27.80
 1976   -6.72   -2.31  -30.17  -21.05  -13.53
 1977   -8.55   -1.18  -28.91  -17.61  -10.58
 1978  -12.56   -2.82  -35.55  -19.84  -31.37
 1979   -9.87   -3.08  -22.76  -34.36  -18.65
 1980  -19.01   -4.68  -56.43  -38.07  -17.15
 1981  -13.50   -0.88  -24.79  -38.66  -11.98
 1982  -24.19   -1.24  -16.69  -51.52  -51.90
 1983  -27.49   -4.24  -37.47  -39.93  -33.15
 1984  -21.63   -2.41  -29.41  -35.91  -23.82
 1985  -13.49   -0.69  -19.46  -22.07  -26.50
 1986  -12.26   -2.44  -27.69  -28.08  -26.48
 1987  -21.31   -1.58  -42.18  -33.83  -20.76
 1988  -14.68   -1.42  -13.24  -36.03  -20.75
 1989  -15.78   -1.28  -40.43  -35.72  -37.28
 1990   -6.54   -1.38   -4.63  -21.61  -14.20
 1991   -6.34   -1.40  -23.41  -24.87  -10.66
 1992  -10.52   -1.93  -23.87  -32.11  -18.33
 1993   -7.05   -0.81  -10.25  -36.85   -9.48
 1994  -14.64   -2.72  -27.36  -16.48  -17.86
 1995  -36.98   -4.17  -42.10  -92.61  -15.42
 1996  -16.82   -3.16   -9.15  -42.43  -17.65
 1997   -5.12   -2.16  -40.91  -44.50   -9.06
 1998   -6.69   -1.83   -8.92  -27.13   -6.31
 1999   -9.02   -1.68  -21.47  -34.27  -12.80
 2000  -12.11   -1.93  -20.82  -39.12   -8.70
Projections under SRES A2 scenario
 2000   -7.98   -0.42   -5.70  -18.56   -9.07
 2001  -19.04   -4.42  -16.96  -42.89  -16.71
 2002   -4.34   -0.84  -41.01  -12.67   -6.44
 2003  -34.56   -0.76  -29.09  -88.07  -23.46
 2004  -20.76   -1.30  -20.94 -114.31  -21.24
 2005   -7.12   -2.89  -23.92  -63.37  -12.49
 2006   -6.15   -1.47  -27.26  -29.07  -13.91
 2007  -19.48   -2.83  -49.50  -19.90  -22.28
 2008   -8.81   -2.60  -10.81  -26.81  -16.43
 2009  -13.44   -1.00  -37.01  -21.67  -16.13
 2010  -14.24   -2.20  -18.60  -32.22  -17.56
 2011  -10.85   -1.46  -29.21  -28.27   -9.09
 2012  -16.37   -0.79  -30.59  -58.71  -20.05
 2013  -13.65   -4.20  -38.33  -52.48  -20.08
 2014  -13.98   -2.09  -17.28  -32.60  -16.69
 2015  -13.47   -0.94  -43.95  -55.82  -24.19
 2016  -24.18   -1.80  -54.64  -47.95  -23.72
 2017  -24.13   -2.86  -21.77  -54.23  -18.57
 2018   -9.42   -1.21  -20.30  -18.20   -7.97
 2019   -7.86   -4.42  -25.01  -23.92  -49.13
 2020  -12.31   -1.03  -42.51  -41.76   -9.69
 2021   -7.96   -0.64  -27.59  -28.13   -7.88
 2022  -17.62   -2.85  -18.73  -42.00  -17.69
 2023  -27.55   -1.06  -44.16  -43.99  -22.28
 2024  -12.52   -1.53  -27.61  -30.11  -34.18
 2025  -35.85   -4.47  -49.97  -72.37  -20.45
 2026   -9.53   -2.76  -36.19  -27.90  -28.58
 2027   -4.80   -2.35  -21.28  -23.92  -13.87
 2028   -9.21   -1.94  -31.68  -29.54   -4.90
 2029   -9.15   -1.05  -43.09  -30.50  -21.41
 2030  -20.59   -1.70  -19.43  -57.35  -13.52
 2031  -13.41   -1.80  -16.09  -46.76  -19.94
 2032  -40.30   -1.86  -53.21  -79.49  -26.63
 2033  -17.51   -1.71  -14.36  -45.41  -10.51
 2034  -12.72   -1.92  -14.77  -47.08  -42.34
 2035  -20.06   -2.50  -39.78  -61.38  -12.01
 2036  -34.77   -3.12  -34.48  -78.79  -24.86
 2037  -36.55   -1.52  -32.74  -90.03  -26.23
 2038  -12.56   -0.80  -19.23  -32.19  -41.55
 2039  -13.46   -3.63  -11.68  -43.89   -9.71
 2040   -8.35   -2.87   -9.47  -36.11  -11.96
 2041  -17.84   -2.56  -26.69  -80.30  -39.30
 2042  -28.01   -1.01  -32.95 -116.46   -9.48
 2043  -13.13   -1.78  -20.47  -29.09  -31.38
 2044  -33.18   -2.00  -49.40  -74.82  -23.09
 2045   -8.44   -3.64  -35.50  -29.32   -5.88
 2046  -12.28   -1.47  -17.23  -77.19   -9.99
