Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     NDJ     FMA     MJJ     ASO
 1960  206.12  145.83  186.27  221.51  270.85
 1961  173.42   76.58  163.31  109.19  234.85
 1962  140.25  109.72  105.91  166.43  178.94
 1963  158.86  140.58  144.30  185.53  165.02
 1964  152.17   82.46  170.21  131.72  180.03
 1965  175.29  137.10  157.89  141.76  226.77
 1966  188.48  113.40  162.21  159.01  216.47
 1967  184.93  123.63  158.83  182.83  249.94
 1968  182.04  102.76  221.07  147.00  205.19
 1969  154.43   85.86  177.21  129.27  154.34
 1970  189.48  114.50  138.11  148.40  285.85
 1971  181.57  121.88  176.73  155.39  266.41
 1972  166.93  114.50  152.09  133.78  224.64
 1973  160.77  110.36  162.56  136.78  189.32
 1974  163.13  119.95  153.84  144.55  234.16
 1975  149.14  109.06  146.92  122.75  185.30
 1976  182.90  135.90  165.42  140.93  232.42
 1977  179.37  155.64  142.12  115.49  255.72
 1978  158.76   81.18  197.79  137.35  194.64
 1979  155.79  102.17  170.80  155.06  175.68
 1980  168.32  128.11  143.31  129.23  235.90
 1981  158.16  112.15  170.68  128.26  221.57
 1982  171.31  136.52  147.91  125.34  265.83
 1983  118.57   99.85  101.21   98.79  172.32
 1984  194.38  126.87  159.28  203.89  276.51
 1985  174.79  105.58  171.84  160.30  261.46
 1986  171.89  118.55  171.24  146.97  243.11
 1987  169.14  106.53  171.30  135.40  238.07
 1988  195.44  112.16  162.88  234.92  264.24
 1989  154.78  116.30  129.53  138.82  234.47
 1990  164.32   93.65  104.45  169.53  264.55
 1991  177.11  148.01  178.92  142.78  170.56
 1992  155.12   89.00  152.60  116.66  219.77
 1993  159.99  117.43  144.76  130.34  214.85
 1994  184.27  144.61  163.20  133.82  284.31
 1995  165.22   93.48  185.45  120.43  259.99
 1996  179.00  109.02  218.73  152.85  205.67
 1997  153.11   57.76  157.75  128.23  233.65
 1998  154.23  131.48  105.49  122.88  257.07
 1999  162.65  136.45  213.17  133.43  166.38
 2000  138.15  133.45  103.04   96.96  189.51
 2001  164.39  148.63  127.61  213.84  167.47
 2002  164.98   96.24  210.16  159.32  194.22
 2003  140.70  124.52  126.40  126.21  185.66
 2004  160.32  155.02  128.54   86.53  271.21
 2005  121.66  110.24  106.53   74.17  195.68
 2006  161.29   83.08  187.14  154.17  220.76
