Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     NDJ     FMA     MJJ     ASO
1960      NaN     NaN     NaN     NaN     NaN
1961   173.42  134.29  178.24  120.22  234.85
1962   202.32  149.06  224.33  190.88  245.00
1963   191.01  163.07  198.92  202.04  200.00
1964   186.30  157.44  213.34  131.72  242.69
1965   194.56  207.68  202.01  141.76  226.77
1966   196.38  149.06  206.93  192.92  236.61
1967   202.49  168.45  183.79  197.31  260.42
1968   187.06  164.72  224.77  147.00  211.73
1969   207.96  201.18  234.97  129.27  266.41
1970   202.49  159.59  210.93  148.40  291.05
1971   195.35  136.25  176.73  155.39  313.03
1972   176.72  114.50  181.39  133.78  277.20
1973   172.11  173.02  162.56  136.78  216.10
1974   182.10  144.94  185.22  157.57  240.66
1975   161.60  121.03  182.58  122.75  220.03
1976   186.28  165.31  194.24  144.53  241.02
1977   209.88  212.05  158.03  160.04  309.41
1978   170.27   91.69  222.56  137.35  229.48
1979   195.33  140.09  242.02  170.89  228.29
1980   187.24  172.66  143.31  129.23  303.75
1981   171.24  116.63  186.69  148.44  233.22
1982   184.40  161.39  147.91  152.06  276.23
1983   118.57   99.86  101.21   98.79  174.43
1984   194.38  129.06  168.04  203.89  276.51
1985   191.62  133.43  173.37  168.89  290.81
1986   188.49  153.31  171.24  167.53  261.88
1987   171.27  106.53  171.30  149.93  257.31
1988   196.53  112.16  170.19  235.44  268.34
1989   154.78  116.30  129.53  138.82  234.47
1990   164.32   93.65  109.36  189.71  264.55
1991   177.11  148.01  178.92  163.67  217.85
1992   155.12   89.00  195.06  116.66  219.77
1993   180.04  117.43  201.81  130.34  270.58
1994   209.93  216.71  163.20  171.18  288.64
1995   179.17  125.60  188.87  120.43  281.79
1996   190.51  134.56  240.20  181.61  205.67
1997   153.11   57.76  171.78  149.24  233.65
1998   185.85  155.85  124.79  145.27  317.50
1999   201.34  235.19  213.17  171.77  185.23
2000   167.53  133.45  182.20   96.96  257.48
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
