Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual      JF     MAM    JJAS     OND
        197.9    55.5   160.1   344.1   135.7
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   12.56   10.29    3.03   52.53  -29.68
 1961   27.23    0.46   55.88   17.21   29.77
 1962  -28.47   13.25  -32.29  -71.72    5.22
 1963   -7.43   -2.25   46.44  -32.91  -30.80
 1964    7.22    6.83  102.48  -39.87  -24.98
 1965   24.52   32.57  -12.00   54.83   15.24
 1966    9.97  -12.25   -9.13   44.78   -2.54
 1967  -32.52  -18.13  -19.33  -64.63  -12.49
 1968   25.44   20.13   56.20   36.82  -16.95
 1969   18.03   12.40  -24.01   69.35   -4.61
 1970  -26.18    9.28  -38.20  -33.89  -27.51
 1971  -25.48    1.00   56.49 -112.04   -9.69
 1972   39.22  -15.74   60.06   85.36   -6.49
 1973   -4.24    3.15  -33.36   24.36  -18.16
 1974   28.49    5.43   -8.38   55.95   44.13
 1975   -2.58    2.26  -19.27   39.79  -45.59
 1976  -18.55  -23.15  -24.78  -16.76  -11.63
 1977   18.08   16.97  -20.37   20.41   54.15
 1978   20.75   -2.86   16.33   69.22  -23.71
 1979   -5.11  -11.30   14.29   -3.75  -22.18
 1980   -0.34   -1.57  -18.94   20.42   -8.59
 1981    7.28   12.34   13.24  -17.25   30.66
 1982  -30.10   15.45  -28.10  -62.90  -18.73
 1983  -22.52   -7.83  -22.22  -52.52    7.36
 1984   17.46  -12.63   25.28   40.17   -0.57
 1985    6.03    8.31   30.11  -27.02   24.50
 1986   17.07    4.55   27.42   17.79   14.12
 1987  -22.34  -11.83  -26.58  -63.02   29.15
 1988    7.38  -10.29    6.73   17.29    6.59
 1989   -3.01   20.23   -6.77    4.34  -24.56
 1990   -4.55  -10.88   -7.59   -3.62    1.48
 1991   11.79    1.31   27.47   -2.54   22.21
 1992   -1.89   -8.30  -20.04   23.14  -12.85
 1993   39.66   15.28   27.87   94.11   -4.90
 1994   -3.76    1.06   -2.67    4.76  -19.43
 1995  -23.54    3.91  -18.40  -51.73   -9.38
 1996  -12.16   -3.46   -5.69  -23.63   -9.13
 1997   -8.39    7.76  -58.63   34.49  -26.12
 1998   43.38    3.20   60.08   16.63   89.12
 1999  -41.87  -11.65   -5.37  -97.57  -24.24
 2000    1.92   24.51   67.19  -44.72  -16.24
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   53.03    0.72   60.53  100.78   16.74
 2002   -0.32   -7.11  -36.28  -15.51   60.43
 2003   -0.16   -5.67   33.65  -21.97   -1.23
 2004   19.94   20.16   67.21   -6.02    7.13
 2005   12.40    3.70    5.06    0.44   41.50
 2006   50.36    4.46   46.47   91.46   30.06
 2007  -11.29    7.42   -2.04  -33.40   -3.54
 2008   42.45   40.94   40.47   83.46   -9.24
 2009   -2.58  -12.31   -3.51    8.17   -9.48
 2010   23.31    0.37  -33.08   31.46   84.12
 2011    2.15   10.48  -12.31   -8.41   25.14
 2012   33.02  -12.71  -27.82  121.96    5.77
 2013   23.83  -18.50   77.18   29.45   -8.80
 2014   -4.14   14.80   -7.31  -18.49    5.55
 2015    6.10   17.62   33.45  -59.00   57.85
 2016    2.75    9.32  -33.44   36.78  -10.81
 2017  -10.10   -2.50  -60.18   12.41    4.92
 2018   44.15    2.37    9.22  112.34   16.01
 2019   42.71  -13.60   37.14   65.20   55.81
 2020  -24.42    0.61   -4.22  -46.70  -31.62
 2021   13.37    8.68   32.18    7.40    5.65
 2022   38.98  -13.73   45.64   67.94   28.85
 2023   22.18    0.52   44.41   62.45  -39.30
 2024   21.14   20.12  -12.17   52.96   12.71
 2025    2.00   -1.33   17.38  -31.35   33.32
 2026   -4.14  -26.38   37.80  -22.83   -6.33
 2027   41.32    2.26   58.21   41.68   50.00
 2028   22.28  -10.22   24.61   -7.46   81.26
 2029  -32.42   -7.43  -51.59  -54.85    0.01
 2030   -1.88   11.83   -4.61   -3.70   -5.87
 2031   30.34  -22.62   32.45   68.99   11.99
 2032   -5.46  -20.10  -45.83   20.48   10.09
 2033  -12.97  -17.52   39.44  -53.38   -8.48
