Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual      JF     MAM    JJAS     OND
        181.9    50.9   146.3   317.8   123.8
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960    6.14   11.62   15.64   -4.08    6.61
 1961   -5.61   -5.66   -1.49  -19.94    9.42
 1962   32.04   -3.15   25.96   57.94   27.06
 1963   12.66   -5.07   -6.79   30.29   20.43
 1964  -29.28    7.76  -22.05  -71.94   -4.33
 1965   -5.81    3.60  -51.99   21.18   -1.90
 1966    5.33    6.02  -15.03   35.37  -14.84
 1967   26.29   -1.80   47.49   40.40    4.99
 1968   -3.00    3.63    8.14   -3.50  -17.89
 1969  -17.15   10.11   20.80  -36.02  -48.12
 1970    5.34  -21.69   -2.74   20.78   10.85
 1971  -13.31   -7.72  -34.55  -14.91    6.33
 1972    0.16   -3.95  -18.71   -9.49   34.62
 1973  -33.63    4.91  -40.16  -69.35   -5.18
 1974   -7.27   -7.08  -41.56    3.61   12.38
 1975   -6.16   11.24   83.16  -66.18  -27.07
 1976   34.69   17.22   78.44   41.24   -6.15
 1977  -12.79    4.85  -18.78  -24.39   -3.08
 1978  -11.65    5.68   11.53  -37.21  -12.30
 1979   -9.83   18.62  -50.65   19.82  -27.52
 1980  -22.16   33.81   -1.48 -109.61   36.44
 1981   12.84   -7.46   -8.53   43.99    6.22
 1982   -1.47   -1.71  -23.87   41.84  -36.65
 1983    2.66  -21.35  -16.08   36.35   -7.53
 1984    2.10    7.62  -15.80   21.03   -8.91
 1985  -21.19  -12.67  -21.55  -18.31  -30.36
 1986   -0.87   -0.32   10.34  -22.74   16.73
 1987   18.14   20.93   45.92   21.05  -15.39
 1988    5.90    9.11   54.83  -27.54   -0.58
 1989    9.08  -21.61    3.92   26.53   11.44
 1990   24.25   12.07   -3.05   61.78    9.65
 1991  -19.37  -25.87    4.91  -43.32   -7.39
 1992   31.55   14.05  -12.26   99.90   -4.11
 1993   -7.81   -8.51    1.54  -38.54   24.30
 1994   -4.61   -1.80   -8.07    4.42  -15.07
 1995  -12.02    1.44  -21.75  -28.21   10.34
 1996   36.11  -16.33  -28.93  131.56    8.86
 1997  -38.49   -6.16    0.95 -104.53  -11.44
 1998   -5.89   -5.37   22.91  -43.67   15.33
 1999   45.71    8.06   50.09   84.08   15.27
 2000   27.60    1.79   82.44   16.67    4.55
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   40.05   -3.07  124.90   35.78  -10.35
 2002   38.54    4.32   -5.56   97.00   27.49
 2003   29.44   -0.86   68.08   43.19   -7.32
 2004    6.14  -19.90   -6.05   25.67    9.64
 2005    2.40   20.36   18.58  -14.23   -3.56
 2006    9.03   -4.18   11.16   16.36    5.94
 2007    0.28   10.56  -14.85   10.65   -5.27
 2008   19.66   -9.95   49.31   35.06  -10.76
 2009   21.00    2.58  -10.65   70.82   -1.52
 2010   16.69   -1.48   57.21    8.03   -0.17
 2011    7.60   -4.77   45.21   -4.97   -4.98
 2012  -33.18   -2.87  -34.28  -62.05  -13.79
 2013   22.06   -5.39   11.88   30.60   39.17
 2014   11.71  -10.98  -29.48   44.17   24.75
 2015    0.15   -7.32   51.71  -28.78   -7.85
 2016   14.83   14.21   23.85   15.48    5.34
 2017   15.42    0.52   10.30   50.56  -16.38
 2018   -9.38   -6.39  -10.91  -17.58    1.09
 2019    2.45   12.87    1.82   20.82  -28.36
 2020   -0.99   23.25   64.34  -76.74   18.52
 2021  -10.75    1.96   23.88  -57.41    8.36
 2022  -20.74   -9.36  -11.24  -46.49   -3.50
 2023   -7.99   12.57  -16.87  -13.95   -4.86
 2024   -0.60    2.65   -6.50   19.81  -24.09
 2025    1.51    9.02  -50.77   36.34    2.35
 2026   16.98   22.83    6.14   30.37    6.05
 2027  -18.15    1.11   -6.43  -48.32   -2.49
 2028   29.85    4.13   50.29   29.95   26.43
 2029    0.59    5.12   -9.92   27.56  -27.86
 2030    3.54   -0.50    6.89   18.43  -16.95
 2031    4.86    5.73    5.28   26.75  -25.33
 2032   27.87    8.18   22.49   73.61  -14.63
 2033    8.29   -0.33   -6.56   19.83   13.49
