Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
        143.2    26.6   183.1   279.8    83.6
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   24.82   -1.73   64.82   28.32    7.86
 1961    8.23    2.04   21.86    6.46    2.56
 1962    2.67    4.50  -42.96   18.12   31.01
 1963   14.97    2.80   -9.81   68.87   -1.97
 1964  -26.11   -0.65  -12.74  -64.26  -26.81
 1965   20.33    0.22   28.66   29.02   23.41
 1966    9.20   -0.64    2.86   15.02   19.54
 1967    9.12    7.98    7.38   43.22  -22.09
 1968    5.18   -0.26   48.19   -3.87  -23.33
 1969  -14.88   -1.47  -14.32   -2.88  -40.84
 1970   24.43  -14.24   46.27   36.90   28.78
 1971  -12.74   -8.19  -19.22  -16.87   -6.68
 1972   18.38    0.52   -1.18   62.70   11.47
 1973   -6.32    5.48  -38.71   -6.40   14.36
 1974  -11.20    8.78  -60.46   -9.72   16.59
 1975   -0.38    7.05    7.94    9.14  -25.63
 1976   29.73    7.44   42.25   61.26    7.95
 1977  -18.05   13.76  -47.69   -6.94  -31.32
 1978  -11.18    7.97   11.73  -33.04  -31.37
 1979  -16.87   11.06  -57.11   -7.24  -14.19
 1980  -14.11    2.62  -27.28  -36.89    5.11
 1981   14.19  -10.41   27.11   28.99   11.09
 1982   -8.99   -3.85   28.62  -41.76  -18.95
 1983   22.37  -15.17   25.75   31.66   47.23
 1984  -21.61   -7.02  -48.11  -14.46  -16.87
 1985  -16.56  -16.08  -26.94   12.55  -35.76
 1986   11.92    2.55   28.89   24.92   -8.71
 1987   -2.22   -0.99   31.00  -16.47  -22.44
 1988   19.82   16.01   53.55    8.69    1.04
 1989   -1.96   -5.05  -44.97   41.44    0.72
 1990   15.14    1.12    3.09   40.22   16.15
 1991   -2.81   16.48   25.83  -85.38   31.86
 1992   -8.42   -7.13   16.79  -36.46   -6.88
 1993    8.47    8.97  -16.98    8.74   33.15
 1994   -6.08  -12.35    9.44   -7.29  -14.12
 1995    3.28  -11.69   26.49   11.46  -13.13
 1996   17.53    0.24    5.84   80.80  -16.76
 1997  -14.08   10.41  -65.64  -16.91   15.83
 1998  -14.91   -7.58   19.49  -89.26   17.70
 1999    3.23   -0.72   44.23  -34.38    3.78
 2000   37.73    4.52   38.22   63.24   44.94
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   42.66    8.11   61.74  106.55   -5.75
 2002   41.34    5.33   76.89   66.29   16.84
 2003    8.89   -5.45    7.71   46.18  -12.87
 2004   17.77   13.99   -2.29   50.19    9.20
 2005    7.52    7.92   -1.86   10.96   13.06
 2006    5.42  -15.65   35.49   19.21  -17.38
 2007    3.04    2.15   23.46   -8.40   -5.02
 2008   -0.15  -10.56   34.99  -22.71   -2.29
 2009   39.60  -11.88   26.99   62.01   81.27
 2010  -17.14  -10.41  -18.51  -34.34   -5.29
 2011  -14.23   -6.88    0.63  -44.78   -5.91
 2012  -30.10  -12.93  -60.83  -23.34  -23.32
 2013   24.47   14.56   38.83   35.95    8.54
 2014    3.19  -10.43   12.63    5.24    5.31
 2015   -0.55   -8.01  -15.64   32.10  -10.66
 2016    0.75    2.28   -8.69   19.11   -9.69
 2017   19.59    4.74   81.35    1.92   -9.65
 2018   -7.81   -3.89  -55.33   18.47    9.49
 2019   24.32   -6.26   89.76   50.77  -36.98
 2020    0.89   50.40  -32.81  -18.73    4.69
 2021   -4.47   -8.10   -7.03   19.75  -22.50
 2022  -14.50  -15.66  -49.58    7.83   -0.58
 2023  -28.51   -2.52  -28.52  -78.17   -4.83
 2024   21.90    2.48   -2.28  107.19  -19.77
 2025   19.55   -5.47   41.38   34.49    7.82
 2026  -15.01   -1.82  -16.69  -49.22    7.70
 2027    0.11   -0.71    1.03   -8.84    8.97
 2028   22.89   -8.11   37.07   57.91    4.69
 2029  -22.44   -0.46  -20.84  -49.07  -19.36
 2030   10.81    2.80   36.18  -20.51   24.79
 2031   14.82   -6.97   32.51   59.77  -26.01
 2032   27.01   -1.36   65.14   46.22   -1.97
 2033   -4.33   -7.89   13.90   -2.12  -21.23
