Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     JFM     AMJ     JAS     OND
         41.2     0.1    12.1   125.3    27.2
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 2064  -58.52  -70.25  -94.34  -62.25  -25.31
 2065  -33.03  -97.66  -75.37  -35.75   -1.43
 2066  -25.36  -91.47  -22.41  -41.74   49.10
 2067  -14.57  -85.50  -60.95   -5.41  -35.98
 2068  -22.45  -52.50  -57.83  -12.80  -51.15
 2069  -33.86  -99.99  -61.50  -32.25  -28.82
 2070   -2.08  -58.74  -52.38    5.04  -12.40
 2071  -19.08  -97.64  -90.85  -31.03   68.28
 2072    2.65  -75.21  -33.41   -0.45   33.23
 2073   10.29  -44.96  -91.79   14.61   35.96
 2074  -52.80  -20.84  -93.97  -51.67  -39.78
 2075   -7.22  -45.41    1.38   -4.81  -22.02
 2076    6.42 4542.31  137.11    3.21  -50.24
 2077  -23.63  -97.78  -76.76  -26.34   12.78
 2078  -45.78  -78.86  -88.01  -43.26  -38.48
 2079  -30.59  -87.90  -59.93  -27.03  -33.77
 2080  -24.68  -83.27  -20.27  -21.16  -42.73
 2081  -37.43  -98.41  -57.88  -34.39  -42.17
 2082  -29.96  -99.98  -83.44  -31.01   -1.09
 2083  -13.36  -90.78  -92.22   -6.91   -7.80
 2084  -36.79  -97.59  -79.81  -23.73  -77.69
 2085  -35.70  -84.97  -52.08  -43.28    6.75
 2086  -35.35  -61.24  -88.64  -22.64  -70.20
 2087  -20.40  -99.99  -57.94  -11.35  -45.17
 2088  -56.58  -99.08  -89.83  -65.52   -0.40
 2089  -37.25  -63.90  -53.45  -41.61   -9.86
 2090   17.22  -97.45  -76.22   44.26  -65.56
 2091  -22.59  -33.80  -88.73  -30.06   41.38
 2092  -65.04  -89.78  -91.71  -64.64  -54.95
 2093  -32.90   62.66  -59.08  -22.67  -68.70
 2094  -43.20  -88.22  -84.73  -47.94   -2.72
 2095  -48.40  -68.50  -76.52  -41.64  -67.02
 2096  -21.70 -100.00  -79.13  -28.04   33.37
 2097  -36.67  -95.34  -76.30  -47.01   28.85
 2098  -19.60  126.54  -21.23  -36.67   59.47
 2099  -58.51  -94.32  -80.20  -67.43   -7.56
