Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in anomalies relative to 1970-1999 mean (%)
 YEAR  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960  -39.47  -95.86  -47.95  -47.67  -78.13
 1961  -46.12  -99.56  -89.85  -58.73  -84.96
 1962  -42.03 -100.00  -87.29  -43.20  -81.21
 1963  -45.49  -99.75  -76.73  -61.80  -89.97
 1964  -27.40  -99.68  -50.27  -25.68  -48.51
 1965  -14.85  -98.77  -55.78  -53.67  -51.77
 1966  -24.42  -96.93  -78.26  -31.49  -64.95
 1967  -49.07 -100.00  -77.22  -47.97  -67.39
 1968  -41.34  -92.85  -97.47  -45.02  -65.58
 1969  -35.51 -100.00  -89.69  -39.72  -86.34
 1970  -48.96  -93.52  -68.67  -63.34  -75.46
 1971  -41.47  -99.84  -52.20  -47.52  -60.73
 1972  -43.51  -98.06  -76.88  -50.73  -48.57
 1973  -38.49  -96.98  -69.12  -38.35  -80.90
 1974  -40.59  -93.64  -69.11  -52.09  -81.30
 1975  -36.95  -85.43  -72.33  -40.20  -61.59
 1976  -46.87 -100.00  -65.26  -49.18  -74.58
 1977  -29.66  -99.49  -77.47  -45.17  -43.06
 1978  -53.30  -96.94  -72.65  -47.15  -96.88
 1979  -27.88  -97.22  -65.34  -40.56  -73.44
 1980  -43.75  -93.46  -88.31  -40.41  -81.51
 1981  -55.53  -99.95  -64.97  -58.19  -56.82
 1982  -45.04  -99.62  -82.61  -47.90  -99.29
 1983  -30.10  -97.90  -95.73  -38.90  -81.19
 1984  -33.45  -87.16  -69.82  -31.39  -60.55
 1985  -28.67  -90.51  -60.65  -36.81  -76.47
 1986  -43.36  -99.82  -76.45  -37.59  -56.65
 1987  -25.99  -95.49  -91.52  -30.66  -83.39
 1988  -46.15  -98.34  -48.27  -48.04  -63.31
 1989  -19.21  -99.99  -86.28  -24.08  -72.57
 1990  -24.43  -97.67  -54.78  -26.77  -83.78
 1991  -34.01  -97.05  -77.09  -44.10  -39.67
 1992  -56.78 -100.00  -69.95  -64.19  -84.69
 1993  -38.32  -94.89  -66.58  -41.72  -33.73
 1994  -28.46 -100.00  -75.72  -43.12  -71.94
 1995  -52.50 -100.00  -91.81  -51.10  -72.47
 1996  -43.54 -100.00  -51.23  -40.26  -67.57
 1997  -32.09  -93.45  -94.48  -26.58  -39.28
 1998  -33.71  -98.19  -68.17  -39.83  -71.94
 1999  -45.87 -100.00  -56.13  -51.03  -57.54
 2000  -46.79  -99.99  -86.66  -45.90  -73.69
Projections under SRES A2 scenario
 2000  -49.83  -94.41  -46.33  -47.35  -56.47
 2001  -58.32  -94.75  -68.89  -54.17  -74.89
 2002  -30.75  -99.43  -93.10  -19.66  -57.87
 2003  -63.35  -98.80  -84.09  -67.90  -63.26
 2004  -53.27  -97.30  -81.90  -53.71  -90.86
 2005  -41.95 -100.00  -63.67  -47.98  -60.11
 2006  -47.19  -99.77  -50.86  -59.20  -86.04
 2007  -31.91  -98.81  -96.55  -37.06  -80.55
 2008  -45.55 -100.00  -68.66  -46.71  -80.31
 2009  -34.73  -98.47  -61.17  -33.91  -84.08
 2010  -40.07  -99.95  -71.41  -49.84  -88.43
 2011  -29.00  -97.33  -83.62  -37.55  -36.07
 2012  -55.51  -96.65  -67.88  -50.26  -86.90
 2013  -51.58  -94.07  -76.66  -67.94  -55.47
 2014  -43.35  -99.64  -42.43  -45.99  -89.59
 2015  -30.39  -94.54  -74.77  -57.85  -60.44
 2016  -27.72 -100.00  -90.90  -44.10  -48.89
 2017  -37.48  -99.19  -84.29  -57.75  -98.23
 2018  -28.90 -100.00  -71.62  -29.27  -35.09
 2019  -26.30 -100.00  -72.76  -29.24  -96.65
 2020  -28.21  -95.05  -79.26  -56.68  -68.73
 2021  -32.26 -100.00  -47.80  -29.87  -58.75
 2022  -55.32  -95.08  -68.95  -53.05  -77.81
 2023  -27.40  -98.24  -83.42  -26.89  -81.81
 2024  -35.28  -99.51  -69.42  -39.70  -88.48
 2025  -44.32  -97.78  -99.50  -51.86  -80.94
 2026  -30.73  -99.17  -64.21  -35.82  -64.25
 2027  -15.39  -96.98  -87.49  -40.77  -72.48
 2028  -36.58  -96.62  -63.52  -39.89  -55.96
 2029  -33.70  -99.50  -76.83  -64.65  -63.96
 2030  -53.22  -94.58  -67.14  -50.71  -90.35
 2031  -39.97  -99.31  -75.48  -60.52  -47.02
 2032  -35.63  -95.49  -81.24  -33.56  -56.72
 2033  -45.84  -98.57  -78.99  -50.29  -62.15
 2034  -44.18  -97.94  -66.86  -56.82  -87.10
 2035  -55.42  -95.59  -96.96  -59.57  -62.13
 2036  -54.60  -98.87  -95.27  -49.31  -56.91
 2037  -36.77  -97.76  -76.99  -42.68  -52.60
 2038  -28.84  -96.80  -84.75  -40.76  -90.62
 2039  -56.32  -96.18  -65.97  -66.11  -58.63
 2040  -38.00  -99.47  -55.61  -36.85  -83.42
 2041  -53.09  -99.32  -75.16  -56.11  -94.45
 2042  -52.75  -95.42  -90.18  -62.59  -56.58
 2043  -36.39  -99.74  -70.38  -41.15  -77.16
 2044  -64.56 -100.00  -93.37  -62.45  -74.69
 2045  -39.80  -91.86  -85.02  -38.40  -55.87
 2046  -56.00  -97.32  -77.54  -58.91  -79.35
 2047  -55.02  -99.20  -79.69  -57.82  -51.28
 2048  -40.13  -97.57  -90.55  -48.81  -53.40
 2049  -58.92  -99.99  -98.90  -50.69  -94.86
 2050  -37.19 -100.00  -75.45  -39.38  -58.20
 2051  -23.05  -90.96  -72.16  -27.72  -80.21
 2052  -40.37 -100.00  -79.35  -52.00  -71.61
 2053  -46.67 -100.00  -91.88  -53.12  -76.73
 2054  -34.20  -99.39  -74.80  -39.56  -78.63
 2055  -44.84  -95.44  -70.49  -49.58  -43.37
 2056  -37.19  -95.60  -67.79  -42.62  -84.24
 2057  -41.90  -96.93  -75.62  -41.27  -67.42
 2058  -40.86  -98.31  -55.12  -40.82  -86.66
 2059  -39.72 -100.00  -71.71  -41.46  -84.17
 2060  -70.54  -98.36  -77.83  -72.43  -64.09
 2061  -46.44  -99.69  -85.20  -50.93  -51.69
 2062  -50.74  -95.41  -94.44  -53.54  -66.16
 2063  -56.84 -100.00  -92.81  -58.15  -85.80
 2064  -58.52  -96.85  -94.34  -62.25  -67.89
 2065  -57.40  -98.95  -75.37  -63.39  -52.12
 2066  -62.20  -98.80  -82.25  -70.66  -77.88
 2067  -50.69  -96.73  -60.95  -49.50  -82.04
 2068  -43.61  -97.01  -86.57  -42.84  -57.21
 2069  -33.86  -99.99  -91.64  -32.25  -37.01
 2070  -54.81  -93.15  -92.91  -63.36  -86.52
 2071  -55.61  -98.57  -90.85  -53.73  -94.33
 2072  -40.56  -96.49  -66.17  -58.47  -75.59
 2073  -32.91  -97.71  -91.79  -30.77  -80.78
 2074  -52.80  -97.72  -93.97  -59.23  -52.75
 2075  -53.74  -92.44  -93.52  -56.86  -82.63
 2076  -42.74  -95.78  -67.03  -45.71  -65.82
 2077  -64.92  -97.78  -76.76  -64.73  -90.21
 2078  -46.61  -99.27  -88.01  -47.23  -79.40
 2079  -46.14  -97.61  -73.49  -38.66  -96.35
 2080  -68.06  -98.63  -70.14  -68.39  -75.96
 2081  -81.42  -98.41  -86.96  -89.66  -64.27
 2082  -77.89  -99.98  -84.84  -76.02  -84.76
 2083  -77.84  -98.72  -92.22  -80.36  -95.56
 2084  -85.95  -98.07  -79.81  -87.29  -96.73
 2085  -46.35  -96.75  -66.42  -44.38  -79.08
 2086  -57.71  -98.25  -94.74  -50.54  -88.72
 2087  -62.30  -99.99  -76.05  -60.97  -80.14
 2088  -56.58  -99.08  -89.83  -65.52  -85.67
 2089  -49.99  -99.07  -78.04  -50.47  -77.09
 2090  -51.90  -97.74  -88.32  -79.30  -65.56
 2091  -53.36  -95.01  -88.73  -61.59  -75.38
 2092  -66.57  -96.75  -91.71  -66.76  -82.90
 2093  -77.05  -96.96  -80.36  -77.93  -92.49
 2094  -68.98  -96.83  -84.88  -76.00  -81.92
 2095  -69.05  -99.32  -78.74  -66.33  -83.12
 2096  -62.85 -100.00  -79.13  -73.02  -57.27
 2097  -58.48  -98.46  -76.30  -72.50  -82.63
 2098  -82.54  -97.14  -89.60  -81.41  -83.00
 2099  -58.51  -97.42  -87.33  -67.43  -86.29
 2100  -72.73 -100.00  -84.36  -74.78  -88.35
Projections under SRES A1B scenario
 2000  -49.84  -94.41  -46.33  -47.35  -56.48
 2001  -36.95  -99.88  -71.86  -34.23  -60.78
 2002  -38.30  -86.48  -92.09  -59.07  -68.27
 2003  -51.37  -95.96  -96.82  -56.68  -78.00
 2004  -54.92  -96.00  -80.76  -50.48  -65.38
 2005  -50.88  -96.68  -74.50  -61.70  -73.77
 2006  -53.43 -100.00  -91.05  -53.13  -88.06
 2007  -40.66  -97.70  -65.02  -39.28  -65.86
 2008  -42.67  -98.42  -90.31  -50.91  -74.59
 2009  -27.58 -100.00  -55.27  -27.48  -64.33
 2010  -47.03  -97.91  -44.23  -50.59  -73.31
 2011  -50.80  -99.81  -60.93  -51.26  -84.47
 2012  -67.33  -96.25  -96.34  -78.21  -82.66
 2013  -36.69  -86.54  -68.06  -49.94  -40.49
