Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in anomalies relative to 1970-1999 mean (%)
 YEAR  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   58.52   81.77   86.94   96.17  226.58
 1961   82.62  126.83  216.19   81.22   31.23
 1962   29.61  102.77   86.36   28.21  227.64
 1963   53.70  172.30  132.79   54.81   76.36
 1964   42.26   29.32   88.07   57.24   75.89
 1965   41.80  139.29  139.36   40.43  230.75
 1966   52.39  182.62   54.03   46.00  140.18
 1967   41.84  224.51   80.16   33.79  151.83
 1968   52.46  257.48   81.89   78.08   57.57
 1969   76.92  378.71  162.05  101.35   60.54
 1970  112.62  582.55  253.42  111.14  167.10
 1971   41.20  458.81   75.80   77.03   54.70
 1972   82.47  203.19  280.38   60.41  210.46
 1973   38.46  297.61  230.73   53.37   43.19
 1974   53.59  180.60   89.40   57.27  100.84
 1975   37.46 1275.23   66.37   69.20   99.98
 1976   18.49  194.47  112.22   28.61   49.31
 1977   34.33  302.97   51.61   44.22   79.76
 1978   31.14  304.95   63.67   30.12   91.38
 1979   30.38   75.78  113.75   42.59   70.09
 1980   18.82 1338.68   65.52   30.49   76.13
 1981   52.21   14.54  117.32   52.88  164.92
 1982   22.57   74.56   81.36   21.83   60.10
 1983   51.11  243.74  168.22   62.80   89.97
 1984   47.79  146.69   80.48   70.30  149.47
 1985   40.56  182.10  133.24   24.91  167.61
 1986   79.46  394.81   54.93   80.29  100.73
 1987   43.76  112.64   27.57   37.95  119.36
 1988   30.11   86.72  126.26   39.13  213.80
 1989   56.54  265.07  127.42   30.41  385.66
 1990   63.31 1177.25  231.30   85.63   64.45
 1991   34.73 1330.09   84.46   55.34   57.95
 1992   20.84  157.78   58.59   21.21   47.39
 1993   23.40  185.75   89.76   12.51  127.53
 1994   31.27   88.46   78.22   40.92   84.35
 1995   80.90  452.16  156.16   72.62  132.50
 1996   36.98   56.90   78.54   59.25   91.85
 1997   66.20  231.91  168.73   41.86  247.85
 1998   46.15   56.46   82.93   47.85  152.38
 1999   81.64  257.66  218.28   75.92   93.58
 2000    6.24  390.51   47.29   12.10  107.81
Projections under SRES A2 scenario
 2000   18.34   27.76   24.76   -9.01  142.29
 2001   21.42  230.36  144.43   52.75   20.79
 2002   56.72  109.41   61.76   58.33  161.89
 2003   58.94  234.55  462.29   62.35   93.00
 2004   69.04   59.53  201.89   69.95  131.09
 2005   53.91  510.04   69.25   55.04   64.00
 2006   73.50  590.28   58.62  131.99  202.03
 2007   71.61  135.32   59.19   41.28  419.74
 2008   51.10  589.54  127.98   37.99  221.79
 2009   71.65   97.61  132.06   74.67  411.65
 2010   49.33   12.48  173.06   52.79  188.79
 2011   40.05  297.89  197.63   69.25  108.86
 2012   77.61  122.78  140.04   97.36  115.07
 2013   46.94  190.29  107.56   47.08  217.91
 2014   57.83   37.42   28.31   67.32   54.69
 2015   26.04  197.42   58.49   22.37   96.99
 2016  110.56   66.85   37.44  113.33  172.22
 2017  103.38  121.72   79.24   69.19  204.30
 2018   66.35   80.33  160.95   45.79  163.60
 2019   90.98  139.04  137.96  161.04   64.88
 2020   36.64  291.86   92.37   70.51  112.30
 2021   59.48  122.35   73.25   60.36  178.79
 2022   69.75   26.73  337.86   87.93  114.99
 2023   15.62  794.66   40.61   23.39   80.62
 2024   27.95  105.38   59.11   53.54  124.93
 2025   24.28  117.60  124.51   21.97   53.36
 2026  217.51   84.47  614.12  170.52  156.26
 2027   72.26  630.67   87.76  122.34   77.46
 2028   19.52   95.13    8.50   29.75  100.21
 2029   23.23  354.17   71.60   25.69   95.88
 2030   69.31  251.79  134.44   51.84  163.42
 2031   74.96   21.70  107.91  130.09   47.74
 2032   32.98   48.37   45.37   49.27  135.09
 2033   36.75  193.81   29.99   41.69   22.25
 2034   12.99  262.37   45.79   25.91  134.30
 2035   45.67   13.13  115.02   73.90   60.77
 2036  116.57  874.10   11.98  168.50  200.72
 2037   30.79   61.30  145.90   32.13   77.16
 2038   31.04  188.05  112.40   42.63   36.58
 2039   34.49   51.41   78.70   44.67   60.59
 2040  124.34   22.66  179.21  174.30   89.93
 2041   37.78  231.72   57.88   19.78  131.27
 2042   48.09  358.16   56.02   60.85   61.93
 2043   61.50  137.45   41.54   91.97   54.47
 2044  107.68   30.46   51.25   32.84  303.83
 2045   54.64  193.87   96.38   91.88  154.59
 2046   38.26  189.70  107.35   67.09   58.58
 2047   77.53   28.75  252.97   74.34   54.14
 2048   39.04  258.55   77.40   46.59  111.90
 2049  105.66  375.63   35.44  113.20  161.72
 2050   45.28   87.84   65.47   71.81   53.79
 2051   45.48  793.28  118.80   92.63  102.10
 2052   30.05  282.85  323.07   60.46   12.30
 2053   95.78  131.91   61.29  123.98   82.41
 2054   52.25  251.41   74.09   64.92   70.39
 2055   16.44   76.95   27.48   48.22   96.76
 2056   56.76    3.89  209.05   50.42   91.13
 2057   68.01  307.08   32.51  102.03   68.13
 2058   59.72  113.79  296.08   64.78   59.08
 2059   36.77  104.81  149.66   28.60   57.43
 2060   27.04  581.46   32.14   40.11   53.17
 2061   37.55  125.14   96.26   35.24  165.56
 2062   42.39  297.33   99.44   60.30  192.89
 2063   41.72   78.34   29.49   61.27  123.35
 2064   57.39  223.36  132.17   62.48  178.42
 2065   55.92 1106.39   67.55   72.37  209.09
 2066   97.13  213.67  120.83   96.31  143.73
 2067  105.08  202.31  103.28  217.87   60.82
 2068   26.68  578.37   61.44   51.38   75.03
 2069   31.21  132.98   41.79   39.23  137.87
 2070   59.51   39.86  129.97   42.19   87.68
 2071   26.67   51.60   34.58   33.90  406.89
 2072   66.20  582.69   16.32   73.86   42.74
 2073   51.67  224.94   82.32   70.05  143.88
 2074   60.81  104.91   98.83   42.52  272.84
 2075   44.60   51.60   50.73   53.49  292.20
 2076   74.05 4542.31  137.11   61.20  345.01
 2077   25.98  372.38   79.02   72.72   41.51
 2078   33.55  471.24   75.89    7.26  270.20
 2079   48.49  389.26   53.85   51.57   99.61
 2080   18.32  230.39  101.09   28.46  137.87
 2081   78.44   59.77   28.26  122.00   89.23
 2082   35.47  129.48   44.33   55.32   46.34
 2083   33.80  363.55   71.16   61.28  138.60
 2084   33.53  129.43   32.64   39.18  169.71
 2085   63.77  246.64   37.58   90.15  102.36
 2086   31.82  122.44   66.19   39.52  344.24
 2087   49.13   62.25  195.09   59.24  122.08
 2088   49.76  374.72   74.91   68.01  367.92
 2089   41.83  329.92  159.35   49.48  204.69
 2090   17.22  325.24  178.13   44.26  163.66
 2091   84.32   52.30   73.21   74.52  231.65
 2092   42.65  156.64   55.31   62.24   46.11
 2093   33.94  185.81   71.87   85.07   87.17
 2094   16.42  100.31   34.48   13.62  120.94
 2095   85.99  130.59  111.57   81.62  233.96
 2096   31.54  290.38    9.06   38.81   55.66
 2097   28.52  330.90   51.77   54.78   84.18
 2098   56.07  236.12   83.18  131.76  182.58
 2099    7.97  240.28   26.27   17.59   48.50
 2100    6.69  149.31   79.83   12.33   75.51
Projections under SRES A1B scenario
 2000   18.34   62.03   33.47    2.68  142.29
 2001   30.43  464.38   96.12   29.30   93.28
 2002   36.56  185.69  137.22   42.22  162.82
 2003   68.96 1181.08  132.11   70.46  334.23
 2004   54.47  181.60   55.87   63.11   73.54
 2005   36.26  602.85  127.87   50.81  117.02
 2006   58.74  214.08  174.31   52.91  125.37
 2007   23.65   76.65   90.10   27.12  128.10
 2008   57.23  193.31  117.89   81.96   81.98
 2009   37.24  187.59  102.95   39.51   62.71
 2010  133.62  785.70  684.24  113.25   82.26
 2011   40.16  244.78  153.82   23.97  202.50
 2012   52.08  404.17   74.75   58.07  170.16
 2013   49.94   77.21   17.81   44.61  180.00
 2014   30.47  175.46   40.60   38.97   88.54
 2015   81.87   89.67   82.66  106.95   86.53
 2016   75.25  166.02  124.54   84.21   86.64
 2017   45.51  432.73   30.07   57.73   63.11
 2018   77.72   89.39  413.88   85.01  145.69
 2019  119.17   60.65  231.53  100.28  191.79
 2020   62.13  128.68   37.76   72.94  175.89
 2021   37.32   10.87  141.09   74.33  176.44
 2022  119.11   78.77   57.83  158.01  148.60
 2023   12.10 1144.37   40.63   23.52   58.43
 2024   38.86  157.32   72.14   42.43  115.37
 2025   26.87   98.45  106.71   27.63  187.52
 2026  144.79  237.52  133.91  117.61  209.40
 2027   71.91   67.87   66.94  100.55   85.63
 2028   43.67  110.39   73.53   58.59  127.01
 2029   27.42  120.75  108.07   32.72  175.24
 2030   34.97   70.56  134.77   85.56   73.52
 2031   46.98  288.07  109.68   51.87  127.48
 2032   54.83  322.17   71.32   86.80  236.41
 2033   44.46   28.81  186.64   85.69  128.94
 2034   18.74  123.22   91.66   20.15   97.62
 2035   56.72   40.98   62.01   60.14  163.81
 2036   42.78  156.57  424.33   35.58  413.95
 2037   20.15  324.11   86.79   34.94   95.78
 2038   25.16  111.01   99.56   28.04   66.53
 2039   14.15  141.92  104.11   13.29   25.93
 2040   89.97  883.96  110.88  118.94  101.20
 2041   22.59   99.93   69.01   21.08  181.74
 2042   39.04  104.81  152.17   40.90   86.97
 2043   40.41  325.76   71.88   47.09  197.89
 2044   81.36  104.47   99.56   86.21  147.58
 2045   33.90   91.88  131.91   33.29  107.29
 2046   81.80  132.41  134.84   60.59  130.44
