Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in anomalies relative to 1970-1999 mean (%)
 YEAR  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   44.83   65.34   51.37   77.99   84.95
 1961   84.63  420.23   90.80   90.77   31.34
 1962   37.75   71.12  120.90   43.46  413.85
 1963  107.38  506.41  188.17   55.29  116.91
 1964   66.17   63.28  116.07   99.24  110.99
 1965   81.56  270.11  118.02  113.55  149.11
 1966   87.88  191.94   73.39   45.07  437.92
 1967   18.09  182.99  128.57   23.23  114.48
 1968   55.88  195.32  212.95  102.63  147.55
 1969   56.18  183.19  183.45   71.76  168.56
 1970   29.79  444.81   63.94   48.25  170.17
 1971   51.88  133.39  129.93   60.61  100.28
 1972   49.95  214.85   74.12   92.54   56.18
 1973   30.27  155.77  113.24   40.64  126.84
 1974   56.01  293.88   93.73   55.00   73.72
 1975   74.37  170.93  166.54   62.12  163.26
 1976   49.67  227.30   80.97   62.02  236.99
 1977   33.55   97.43   59.45   36.27   50.08
 1978   28.42  185.23   79.80   35.77   56.65
 1979   27.06   40.44   83.24   31.76  136.56
 1980   39.76  143.18   97.36   31.01  196.21
 1981   38.85  102.83  113.63   21.93  244.82
 1982   44.79  143.67  163.77   36.43  181.78
 1983   49.04  391.25   57.90   41.42   61.01
 1984   24.08  259.39  117.44   52.40   69.05
 1985   46.40  211.20   47.62   85.75  189.45
 1986   36.19  122.50   22.98   69.28  117.58
 1987  146.15  336.20  200.66   59.37  363.75
 1988   28.18  502.77  137.35   49.89   67.34
 1989   26.56   88.07   80.89   34.13   68.84
 1990   51.32   44.83   67.70   74.92   93.57
 1991   58.76  356.50   41.70   90.84   97.73
 1992   49.59  604.38   61.35  101.58   61.47
 1993   42.93  120.22  117.25   86.00   65.08
 1994   54.35  173.48   26.71   86.56  402.03
 1995   67.95   61.39  182.31   38.09  213.40
 1996   46.46  101.19   84.42   87.38  163.64
 1997   84.22  145.62   59.23   66.56  267.80
 1998   42.69   34.62   49.78   54.43  125.58
 1999   52.70  125.42   63.87   41.60  322.97
 2000   46.51  141.15   54.73  126.87   74.15
Projections under SRES A2 scenario
 2000   40.52  396.30  131.07   24.76  110.66
 2001  107.96  100.26  145.01  184.15   90.85
 2002   39.23   40.08  152.89   47.86  174.95
 2003   34.43  117.71  120.84   25.72   99.74
 2004   46.16  362.16   38.99   43.13  332.38
 2005   74.04  143.07  174.54   55.40  122.29
 2006   25.97  103.77  133.78   49.45  124.49
 2007   42.56   64.47   46.13   51.63  260.12
 2008   82.15   52.37   48.68   99.65  135.19
 2009   39.27  174.53  106.75   71.55  181.15
 2010   46.50   74.41  166.91   30.34  173.53
 2011   70.89  167.96   46.80   67.55  172.47
 2012   98.33  207.34  156.28   87.86  537.77
 2013   78.15  262.28   37.13   88.44   78.09
 2014   48.08  123.62  163.07   89.64  175.58
 2015   78.21  125.02  174.29  150.43  279.98
 2016   69.27  165.46  254.68  117.90   44.53
 2017   50.59    6.43   75.31   76.17  226.25
 2018   48.32  216.34  120.37   45.35   81.15
 2019  147.64   29.61  121.65   38.15 1081.36
 2020  101.96  405.50  186.66  194.07  444.35
 2021   68.18  141.47  133.61  122.34  182.36
 2022  171.76  739.27  142.16  139.28  168.74
 2023   89.77  184.26   54.75   19.62  380.59
 2024   65.35  169.47  216.49   89.06  317.52
 2025   50.79  317.37   94.86   39.03  247.36
 2026   55.32  111.64   50.49   60.08  183.01
 2027   47.45  143.31  142.75   59.24  218.82
 2028   33.98  179.81  208.07   34.56  147.56
 2029   89.85  118.15  139.28   96.37  539.80
 2030   28.19  287.66   60.02   46.02  346.67
 2031   92.81  196.79  103.75  153.60  174.50
 2032   73.15  341.19  159.34   60.20  454.26
 2033  103.60  127.66   53.73  164.94  261.24
 2034   70.61  663.71  101.49   62.55  170.88
 2035   56.52   52.56  179.67  120.12  227.55
 2036   43.77  132.81   88.48   65.96  497.87
 2037   60.64  327.32   38.96  101.65  165.74
 2038   52.16  164.23  109.76   74.10  386.35
 2039   48.76  234.60  103.37   75.08  155.94
 2040   41.50   66.33  170.77   28.22   70.08
 2041   33.54  141.92   61.15   45.87  329.57
 2042   38.87   62.48   53.80   39.54  198.43
 2043   71.14  321.82  123.73   66.26  128.47
 2044   23.45   49.56   58.82   47.53   62.87
 2045   66.84  179.27  111.50   78.13  211.75
 2046   48.34  164.27   58.66   44.72  188.57
 2047   50.98  304.44  114.78   91.58  164.86
 2048   49.13  105.51   29.56   71.39  258.60
 2049   30.46   42.66   78.87   57.06  139.60
 2050   76.90  106.76  103.70  105.33  258.21
 2051   51.24  115.06   80.47   51.94  217.40
 2052   66.59  595.59  133.06   82.41  154.36
 2053   83.31  250.45   79.31   83.10  208.12
 2054  185.47   72.42  138.32   54.83  545.33
 2055   83.03  184.13   87.40   80.03  456.63
 2056   48.30   55.76   61.51   70.57  809.26
 2057   83.92  600.98  157.93  122.88   61.27
 2058   62.07   40.23   37.66   73.11  183.67
 2059   43.03  207.32   60.10   54.90  111.38
 2060   34.55   78.79   58.40   64.88  191.55
 2061   68.14  134.75   81.18   64.62  191.34
 2062   39.61  150.49   18.53   28.63  275.83
 2063   37.54  387.82   37.04   41.67  125.46
 2064   72.39  152.33  281.42   88.08  166.47
 2065   68.02   61.34   73.91  110.62   92.91
 2066  200.29  344.76  138.19  142.86  360.84
 2067   80.52  110.62   27.95   83.38  161.39
 2068   39.32  234.57   90.58   62.76  239.44
 2069   62.43  258.65  274.47   57.71   63.02
 2070   86.86  149.51  165.64  102.13  372.90
 2071  115.00  325.53  196.33   85.12  235.89
 2072   79.18  201.58  177.72   63.17  208.09
 2073   73.16 1055.36   83.07   85.09  243.94
 2074   61.26   87.25   58.38   58.32  209.40
 2075   81.79  207.40  105.22   90.42  161.56
 2076   60.83  324.78   14.56   95.46  403.85
 2077   54.65  280.09   48.51   43.16  136.31
 2078   60.18   46.09   75.01   72.64  527.59
 2079   96.84  348.20  230.07  158.45  243.25
 2080   79.30  381.98   18.61  115.20  402.14
 2081   94.28  224.04  108.46   56.19  531.09
 2082  107.56  359.10  178.24  132.75  382.26
 2083  123.05  135.15  107.57  108.77  189.81
 2084   88.25  114.93  212.94  150.56   88.65
 2085   97.52  158.72  137.11  114.74  246.55
 2086  113.11  318.67  139.85  118.87  124.60
 2087   96.18   23.35  146.39   97.99  355.49
 2088  116.66  147.77  188.48  133.01  357.11
 2089   50.37   54.95   71.63  122.69  207.04
 2090   70.84  287.25   33.32   90.47  301.00
 2091   85.37   54.16   72.87   99.99  264.78
 2092   77.86  250.85  102.17  100.40  509.27
 2093   45.38  272.79  137.59   39.86  107.80
 2094   68.41  463.37  106.38   80.81  145.56
 2095   65.09   75.25  207.44   53.83  271.79
 2096   86.84   54.65   52.65   83.73  358.91
 2097  105.57   82.74   70.16  122.72  150.70
 2098   89.70  234.03  103.28   76.76  174.00
 2099   61.84  105.55  223.98   55.47  202.70
 2100  160.05  185.58   55.71  186.31  241.50
Projections under SRES A1B scenario
 2000   40.52  396.30  131.07   24.76  110.36
 2001   42.98   58.58  193.49   68.88  164.48
 2002   42.28  253.39  117.49   65.67  172.12
 2003   46.75  336.43   58.43   61.14  146.36
 2004   34.72   32.03   96.08   95.48  117.42
 2005   26.44   61.41   84.14   60.11   81.44
 2006   45.91   64.66   83.23   34.05  129.06
 2007   37.17   55.18   70.54   58.35  140.71
 2008   70.12  197.70   35.94   57.42  298.03
 2009   59.21  201.52  174.83   59.46  380.80
 2010   45.94  161.34  160.11   64.13   88.60
 2011   43.92  165.76  154.12   61.85  151.27
 2012  208.51  251.38  298.22  196.52  383.94
 2013   52.35  248.16   32.88  113.94  317.79
 2014   40.74  323.50   76.91   53.02  243.42
 2015   26.93  199.04   90.14   28.20  107.34
 2016   55.69   79.87   96.25   36.70  293.19
 2017   56.81  146.29  117.04   96.61  243.63
 2018   72.07  494.82   61.46  139.33   99.61
 2019   98.66  274.32   74.25   99.35  840.77
 2020   26.94  159.90   98.61   67.57  126.05
 2021   83.46  106.50   97.43   76.57  225.15
 2022   35.91  135.97   61.99   38.52   94.20
 2023   64.74  188.34   55.41   74.28  146.81
 2024   48.62  159.51   71.62   59.76  258.46
 2025   27.24  126.01   45.89   47.78  101.83
 2026   59.78   81.76   69.04  102.70   71.47
 2027  103.29  254.69  115.94   72.85  292.27
 2028   33.44  111.43   83.97   61.92  222.12
 2029   70.10  189.54   98.80   76.30  761.30
 2030   93.81  540.60   74.79   72.80  227.01
 2031   71.40   27.60  159.29  214.43  153.32
 2032   35.22  235.62  123.04   52.67  102.12
 2033   47.75  186.20  135.95  111.82  173.84
 2034   27.18   88.00   61.85   24.04  130.29
 2035   89.15  419.94  104.39   77.33  362.20
 2036   54.43  114.08  111.40   76.20  152.12
 2037   41.39  121.23   87.59   47.35  168.89
 2038   50.28  188.41   56.51   74.10  185.57
 2039   43.72  201.07   41.97   87.92  191.55
 2040   94.66   96.86  117.92   96.81  170.62
 2041   75.42  148.45  209.60   94.19   74.04
 2042   54.11  164.64   61.86   51.89  184.56
 2043   79.85  128.26  250.18   47.24  291.11
 2044   64.36  270.55   37.43   33.18  175.40
 2045   84.36  125.72  176.80   92.67  260.16
 2046  110.52  101.05  251.48   89.01  432.12
