Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
 YEARAnnualDJFMAMJJASON
20th Century Model Run
 1960  -26.80  -67.92  -34.58   -7.71  -26.96
 1961  -15.48  -56.40  -37.59   -3.40  -19.84
 1962  -26.42  -50.59  -34.97   -7.11  -34.01
 1963  -15.79  -40.30  -33.04   -8.82  -43.40
 1964  -18.69  -74.20  -45.64   -5.66  -40.75
 1965  -31.94 -136.07  -25.48   -9.77  -42.01
 1966   -9.89  -31.78  -27.09  -11.17  -34.00
 1967  -28.60  -53.35  -67.15   -4.99  -26.00
 1968  -20.38 -114.89  -16.43   -6.54  -32.84
 1969  -19.56  -66.59  -26.84   -5.62  -25.44
 1970  -15.65  -30.49  -35.54   -7.77  -40.50
 1971  -17.82  -53.52  -24.92   -3.96  -27.11
 1972  -22.50  -64.94  -49.69   -5.39  -21.91
 1973  -28.27  -54.67  -49.21   -5.13  -30.76
 1974  -20.30  -68.34  -22.86   -5.79  -33.42
 1975  -15.61  -42.86  -74.61   -9.00  -19.75
 1976  -16.84  -51.13  -37.89   -4.43  -26.42
 1977  -12.16  -33.76  -42.52   -7.00  -16.82
 1978  -11.86  -35.79  -26.22   -5.86  -43.87
 1979  -18.15  -36.34  -37.07   -7.98  -27.05
 1980  -22.90  -74.60  -25.23   -3.28  -39.34
 1981  -24.87  -54.91  -33.46   -5.27  -25.01
 1982  -18.13  -47.15  -38.24   -5.17  -39.15
 1983  -22.97  -79.72  -32.03  -21.52  -24.03
 1984  -18.80  -98.81  -45.57   -7.61  -32.72
 1985  -17.27  -97.32  -38.02   -8.30  -36.87
 1986  -24.55  -90.38  -45.85   -5.50  -32.03
 1987  -15.22  -75.89  -46.34   -7.34  -22.90
 1988  -25.97  -54.88  -51.59   -2.93  -47.54
 1989  -15.43  -45.53  -33.39   -7.50  -28.07
 1990  -21.88  -51.37  -28.78   -3.94  -20.12
