Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
        161.0    21.3   146.6   380.0    96.2
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   20.10    3.37   75.32  -12.33   14.05
 1961    0.24   -7.26  -17.47   36.66  -10.98
 1962   26.75    4.10   14.58   64.92   23.38
 1963  -23.44    0.37  -26.07  -73.03    4.99
 1964    4.24    7.08   54.66  -38.13   -6.66
 1965   13.73   -0.86   19.46    0.54   35.80
 1966    2.84    4.11   -1.09    3.27    5.07
 1967   -4.90    0.19  -45.40   50.05  -24.45
 1968  -15.07    0.57  -16.28  -22.77  -21.79
 1969    5.44    9.19    8.24   51.10  -46.79
 1970   -9.40   -2.77  -41.43   13.07   -6.46
 1971    1.17   -5.82   16.84    5.50  -11.85
 1972    9.76    3.18   -7.38   10.65   32.58
 1973  -12.47    4.95  -35.13   -5.46  -14.25
 1974   15.11   -1.45  -33.85   68.51   27.24
 1975    5.75    8.87   33.79    9.20  -28.88
 1976    7.62    9.42   20.31    0.89   -0.15
 1977   11.78   -0.55   17.67   21.17    8.84
 1978    7.80    2.68   31.49   -5.16    2.20
 1979   11.26   -2.38    8.80   46.26   -7.62
 1980  -13.04    7.21  -34.88  -43.42   18.92
 1981   14.08   -5.00   17.95   19.28   24.08
 1982  -22.93   -3.75   -5.59  -23.25  -59.15
 1983  -24.23  -13.37  -48.30  -14.00  -21.26
 1984  -23.39    1.07  -54.96   -8.20  -31.49
 1985  -14.16   -5.54  -19.65    2.85  -34.30
 1986   -2.11    4.40    3.35    6.03  -22.23
 1987  -18.77    7.57  -31.41  -33.07  -18.17
 1988   21.41    3.08   56.32    0.25   25.99
 1989    9.37  -11.84   23.00   18.86    7.44
 1990    7.76    3.12   50.06   -9.16  -12.98
 1991   -0.79   -6.09   33.48  -58.82   28.25
 1992   14.03   -2.93   25.79   18.97   14.28
 1993   23.43    2.86   33.55    5.75   51.57
 1994   -7.69   -1.82  -36.10   30.11  -22.96
 1995  -33.11   -1.63  -73.38  -50.68   -6.73
 1996    4.82   -6.86    5.82   18.85    1.49
 1997  -13.94    9.43  -71.90   -2.95    9.66
 1998   11.56    1.53   59.11  -49.70   35.32
 1999   19.34    2.43   56.64    7.67   10.62
 2000   19.87   -0.16    7.29   57.95   14.42
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   18.27    5.74   47.33   23.31   -3.31
 2002    2.27   -1.94  -53.44   54.47   10.02
 2003  -15.34   -1.26    0.97  -39.77  -21.29
 2004   -8.83   -5.99   32.99  -77.65   15.33
 2005   17.24   10.36    2.99   44.91   10.69
 2006   -9.63   -1.42  -51.88   10.39    4.40
 2007    0.97   -4.76  -35.13   54.31  -10.55
 2008   14.45   -1.22   31.06   35.82   -7.87
 2009   12.12   -4.89   36.22   13.85    3.30
 2010   -4.42   -3.32   -9.93    1.62   -6.04
 2011   19.89   -2.10   68.26    4.07    9.32
 2012  -14.71   -2.16  -48.86   21.15  -28.96
 2013   10.80    3.80   23.37   14.37    1.65
 2014   18.08   -6.50   19.54   19.77   39.52
 2015   -0.89   -0.62  -12.09   28.57  -19.42
 2016  -25.45    2.39  -44.60  -43.84  -15.75
 2017    3.87   -1.23   12.58    8.83   -4.72
 2018   -8.88   -8.35  -27.70   -3.45    3.98
 2019   -3.80    2.76    4.18   32.47  -54.63
 2020   12.66    4.35   45.58  -22.40   23.11
 2021  -12.49   -1.50  -19.02  -31.44    2.02
 2022   -3.04    0.40   19.26  -39.90    8.07
 2023   -0.58   16.03   14.61   -6.47  -26.48
 2024  -19.28   -4.31  -51.15   21.12  -42.79
 2025  -27.36    0.65  -90.31   -8.71  -11.08
 2026    2.28    6.56    5.58   20.07  -23.07
 2027   -7.92    0.77    2.52  -21.12  -13.85
 2028    7.04   -3.50  -12.70   10.57   33.80
 2029    9.83   -2.96   28.18   38.99  -24.90
 2030   40.04   15.55   33.15   80.40   31.04
 2031  -11.97    0.94  -12.58   -1.35  -34.90
 2032    1.05    1.17  -41.07   31.85   12.24
 2033   30.66   -1.29   41.30   67.01   15.61
