Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     NDJ     FMA     MJJ     ASO
        166.8   127.4   171.0   159.1   209.6
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     NDJ     FMA     MJJ     ASO
20th Century Model Run
 2072   -0.28   27.59   -7.43    5.13  -15.49
 2073    8.43  -18.10   -5.71   -0.36   42.77
 2074   15.66  -15.16  -14.25   10.79   62.50
 2075   -6.20    6.99  -18.21  -17.96    4.52
 2076    1.48  -20.29    9.44   33.18  -15.84
 2077   21.42    0.28   -1.25   26.87   48.63
 2078    3.04   31.55  -24.45   11.06    2.05
 2079   -3.36   -8.21   -7.37   -4.33    3.59
 2080   22.91    4.98   11.76    8.77   53.63
 2081    5.16   14.58  -10.74   -7.11   21.71
 2082    8.41   -4.19  -11.12   24.72   19.63
 2083    3.69   -2.11  -13.78   22.23    7.38
 2084    3.54    2.48  -24.45    8.50   23.27
 2085   17.93   48.77   -7.74   33.75    8.11
 2086    3.26  -16.24  -20.46    4.14   33.80
 2087    5.80   16.59   -3.85    3.46    8.87
 2088   11.23    8.66  -22.77   30.91   25.58
 2089    7.63  -17.44   -0.72   10.84   27.25
 2090   -0.02  -15.68   12.54    4.41   -4.10
 2091    1.46   -8.64  -37.28   -2.69   42.37
 2092   10.71  -24.87   -9.66   19.41   42.37
 2093   30.50   15.13    6.67   51.45   43.36
 2094    2.09    8.96   11.83    6.29  -13.23
 2095   -0.09  -14.53   -1.79   -8.04   16.13
 2096    6.17   -9.42  -24.64    2.03   43.92
 2097   15.57  -30.51    7.05   -6.03   66.95
 2098    8.10   -4.58   -1.66   25.18   10.80
 2099   17.65    3.34   -8.87   24.48   42.80
 2100   17.31   51.49  -18.95   18.72   25.03
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN   19.30    9.34    2.23
 2002   -5.53    2.71    5.97   14.15  -34.86
 2003   14.24    7.53   20.94    1.65   22.40
 2004    5.47   -8.94   23.34   33.43  -21.59
 2005   11.61    2.97   -9.28    3.38   40.15
 2006  -15.52   -0.59  -27.63   14.89  -37.82
 2007   -0.22  -23.03  -19.12    4.80   25.26
 2008    1.88  -39.95  -10.56   52.89   -1.28
 2009   12.82  -22.23    6.91   25.30   29.47
 2010  -11.20  -23.24  -30.57   -5.79    7.83
 2011   22.89   12.03   40.55   14.92   21.14
 2012    9.20    4.93  -12.90    1.51   35.65
 2013   17.60    0.20   -4.92   15.22   48.35
 2014   -7.90    0.76  -10.08  -27.56    3.54
 2015   11.72   -3.96   20.89   -0.43   22.99
 2016   -2.84   13.51   -7.25    2.26  -13.07
 2017   -9.89   -2.28    2.12  -22.04  -15.09
 2018   -9.83   -0.14   -8.87  -10.53  -15.95
 2019   13.99   12.52    0.22   20.70   21.02
 2020  -26.53  -21.09  -11.68  -24.56  -43.46
 2021  -10.12    1.43    5.31    9.07  -44.30
 2022   -5.33    0.51    5.85   20.86  -37.88
 2023   -9.35  -10.06    9.03  -15.51  -19.22
 2024  -13.84  -36.26  -14.66    4.17  -13.20
 2025    7.60   -1.49   -3.50  -11.59   36.76
 2026    8.86    5.61   23.76   14.38   -5.51
 2027    0.45  -17.99   -8.90   -3.16   22.01
 2028   20.27   -6.48   35.05   19.05   25.39
 2029   -1.87  -19.42   11.93    8.58  -10.41
 2030   -1.03  -40.19  -11.83   15.62   18.97
 2031    1.11    6.11  -15.06    4.96    8.33
 2032    2.34   13.14   -6.70    9.64   -2.39
 2033   27.77   -2.02    4.09   26.36   66.28
 2034   17.75  -31.90   -2.49   74.50   21.34
 2035  -21.95  -16.65   -6.06  -14.70  -43.63
 2036    1.08  -18.67    8.26   -6.74   13.16
 2037  -11.88    5.13  -14.36  -27.84   -8.09
 2038   20.50   34.23   20.00    5.86   23.67
 2039    5.16   11.04   14.63    2.00   -3.74
 2040   -7.59    6.05  -25.89   26.41  -26.77
 2041   11.62   10.02   21.27   12.97    3.69
 2042    5.07   -0.67    0.76   13.92    5.36
 2043   11.86    6.04    5.48   11.95   20.53
 2044   16.05   14.51   -9.44   11.76   41.05
 2045   23.51   15.09   -1.93   26.28   47.28
 2046    0.52    5.85    1.13   -0.11   -2.74
 2047    9.25   -6.86    2.76    9.75   23.96
 2048   31.88   25.48    8.54   25.91   59.33
 2049   16.11    9.27   -7.58   29.43   29.48
 2050  -14.54  -31.74   -7.37  -23.73   -2.95
 2051  -10.84  -19.35  -17.47   -9.38   -1.37
 2052   17.48   -6.95    6.93   -8.25   60.47
 2053    5.86  -18.77   11.56  -10.54   28.63
 2054   -7.63  -38.94   -9.23    4.86    3.22
 2055  -21.67   -5.06  -12.78  -19.51  -40.66
 2056    4.92  -19.74  -13.02    2.92   36.08
 2057   10.19   13.20    4.06   -9.97   28.66
 2058    5.22   -6.02   -0.95  -14.82   32.31
 2059   16.40  -13.26   29.68    3.52   33.36
 2060   17.93   -2.09   20.79   15.23   29.84
 2061   -2.81  -15.24    9.10   11.90  -16.15
 2062    4.97  -23.58   -8.80   -6.77   42.46
 2063   -1.38  -26.19   -1.95    0.84   12.49
 2064    6.62   10.00  -25.18   16.74   22.82
 2065   11.37  -28.25  -15.71   40.69   35.29
 2066    3.86    2.62   -2.29    3.18   10.14
 2067    9.82  -13.84  -12.61   28.50   28.31
 2068   28.68    7.19   16.97   21.08   57.07
 2069    3.30    1.23   15.18   18.65  -16.77
 2070    9.90  -29.58   34.26    0.01   21.54
 2071  -11.21  -10.39  -17.95   -5.03  -10.89
 2072   14.07    9.10  -13.14    7.85   44.03
 2073    8.23   17.61   23.18    3.24   -5.87
 2074    3.88  -20.48    2.05    4.22   19.92
 2075   -1.36  -12.16  -16.13    3.24   13.75
 2076   14.58   11.29    8.78   22.78   15.08
 2077    2.24    6.93  -14.79   18.77    0.75
 2078   -4.31   -0.85   -7.49  -11.87    1.93
 2079    9.08   26.16    1.32   -0.84   12.54
 2080    7.29  -10.98  -17.76    7.28   38.85
 2081   10.17   12.69   14.24    9.06    6.18
